报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),242614,298393,298414,298052,256139,280686,191685,261873,242381,278262,263346,271633,225297,178592,156049,174760,141896,111652,125157,114387,109183,113228,137102,49445,46448,38744,34623,24643,14459,31235,31328,27806,44698,40816,44203,53002,63841,13473,15833,9591,8680,10969,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
交易性金融资产(万元),93000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,10,0,0,20,30,30,30,--,--,
衍生金融资产(万元),0,90,90,28,23,--,--,507,153,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收票据(万元),6359,725,1088,467,2809,1907,954,1143,1620,75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收账款(万元),48624,52346,49610,53284,45320,56745,39259,31361,29497,35591,16707,16183,14014,20826,19808,18136,14692,19743,19431,18594,17219,21059,21286,19553,19209,16349,16092,15778,14967,10601,11804,11736,11035,12644,10953,9693,9512,7756,6517,7313,7836,6967,
预付款项(万元),15109,29583,41934,44953,40731,29338,32327,29162,13003,12105,13907,11369,5299,20336,19292,17582,16602,8822,8860,6428,5882,6069,5102,8167,11243,14930,10033,10792,9027,11945,13413,15223,18088,15571,14975,8057,7673,2588,2375,2362,3649,2380,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
