报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),78067,74449,82232,66664,67080,103470,46240,67544,55496,45065,35798,56895,63205,69068,52202,98153,45850,92255,53388,66176,92746,86937,80024,68732,97586,107960,103273,116722,139869,71811,69734,58538,71487,58525,66672,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,20270,20082,20050,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,1,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收票据(万元),45426,58373,63188,58128,49621,48869,47970,43646,42878,51871,51194,40690,36352,39991,42269,43320,30418,30033,27624,25622,22474,28815,26577,28138,22706,23899,24033,28972,29221,23819,10195,26876,12677,9758,7165,
应收账款(万元),143660,140684,143600,150312,155576,130664,136393,129110,138278,143000,159500,156793,174464,167771,192003,198540,209919,205252,190460,191951,176657,187619,141337,135778,128143,118233,114742,106462,89974,93071,89242,80953,78864,61369,55903,
预付款项(万元),33900,24481,20899,18966,21706,20174,22262,28920,41265,32911,54469,53048,57501,51856,72508,79057,92163,87825,135631,138529,164495,159509,264558,279648,240705,179859,73801,35597,38225,29930,31933,28366,23234,25781,16386,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,0,0,
应收利息(万元),--,267,--,--,--,113,--,--,--,255,43,43,43,43,13,17,34,34,--,--,2,--,--,6,27,560,--,--,1,--,21,--,16,0,0,
应收股利(万元),178,178,178,178,178,178,178,178,178,178,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,15,0,
其他应收款(万元),15136,17321,17864,18846,20334,18814,23505,23809,23783,24617,16375,19496,32811,26087,7354,7262,7594,7064,7647,6535,5123,26255,102267,3184,4727,3398,2715,2831,2510,3656,8051,2913,5506,3511,3602,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
