报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),19592,16085,9991,3674,2368,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,254,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),--,--,--,--,--,
应收账款(万元),5281,3304,2346,1896,1405,
预付款项(万元),722,765,150,150,107,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),447,52,30,927,580,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),2851,3772,2104,1623,1350,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),572,476,295,1645,1372,
流动资产合计(万元),29465,24453,14916,9915,7436,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),13559,13160,--,--,--,
累计折旧(万元),4000,3693,--,--,--,
固定资产净值(万元),9558,9467,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),9558,9467,6619,7012,7634,
在建工程(万元),1465,1381,905,176,113,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),1414,1449,1510,763,769,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),94,97,88,166,100,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),42,26,19,50,12,
其他非流动资产(万元),200,200,1300,1100,900,
非流动资产合计(万元),12773,12620,10440,9267,9528,
资产总计(万元),42238,37074,25357,19182,16964,
短期借款(万元),--,--,--,1000,3500,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,30,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),11612,10357,8581,5822,5040,
应付账款(万元),9982,10174,6788,5338,4620,
预收账款(万元),446,441,276,222,324,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),1014,1450,1017,592,430,
应交税费(万元),375,264,269,401,42,
应付利息(万元),--,--,--,--,--,
应付股利(万元),--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),1941,1508,1068,906,627,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),25369,24193,17998,14311,14582,
长期借款(万元),--,--,--,--,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,38,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),0,0,0,0,38,
负债合计(万元),25369,24193,17998,14311,14620,
实收资本(或股本)(万元),6000,6000,6000,828,828,
资本公积(万元),1079,1079,1079,2003,2003,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),903,903,202,295,24,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),8887,4898,77,1745,-511,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),16869,12880,7358,4871,2344,
少数股东权益(万元),--,--,--,--,--,
所有者权益(或股东权益)合计(万元),16869,12880,7358,4871,2344,
负债和所有者权益(或股东权益)总计(万元),42238,37074,25357,19182,16964,		
  
