报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),58582,51522,87937,56611,75659,45989,67945,56497,83067,76956,34982,30455,58018,73704,61521,51386,86226,69236,59777,43029,67974,67054,48387,71641,57819,46852,41363,35420,52794,54114,89229,27871,28191,30551,60910,27354,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,4965,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),23513,13097,9453,5205,4368,7139,2340,4559,4813,7519,4610,5113,7467,10672,9069,6226,15194,11058,13516,14008,19483,14722,19719,19133,18322,11428,7353,6372,4060,3540,1912,386,976,3463,3212,2808,
应收账款(万元),62052,54934,37873,39459,26583,20985,30415,43357,50190,59010,49724,58179,55154,59601,60864,67128,59196,62739,56377,58416,60580,62045,45511,60201,56197,67902,46016,55345,59049,57133,50087,53848,54785,45511,44392,23441,
预付款项(万元),7573,10030,9164,12538,6535,3795,3704,6289,2298,2435,1206,3326,4905,9193,4043,4507,2839,21098,4778,19599,17764,3450,3390,5615,6827,4109,4213,6274,5487,5500,15860,25217,23988,5462,9776,3752,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),148,193,422,533,412,467,820,823,1183,684,459,1002,373,355,267,380,531,372,461,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15,--,0,0,0,0,
其他应收款(万元),4724,4699,4443,5913,5652,5547,5570,7942,8511,7800,8782,5068,4496,4117,4886,2799,3449,2820,3116,1897,2039,2012,1895,2390,2524,3153,2982,3469,6282,2988,3028,3899,4339,2437,613,520,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
存货(万元),100337,92020,92577,73860,76429,77137,76873,81329,81223,83767,90378,98309,88441,100611,101907,101475,106868,122008,115518,122273,126482,135517,122062,123091,129164,132748,117698,115357,91513,92442,74355,76030,79146,71366,79594,59453,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),12660,8619,11844,13822,13071,11100,11297,10963,8351,8153,7927,7115,4252,3745,4894,4628,4457,5803,4778,4720,4468,5372,4138,6969,8671,8118,7254,7731,6000,6191,4105,2374,2227,0,0,0,
流动资产合计(万元),277731,243987,262523,220301,221325,184496,214331,227816,256262,264574,211702,220717,223106,261999,247451,238530,278759,295134,258320,263943,298790,290171,245102,289043,279523,274310,226879,229968,225185,221908,238592,189624,193652,158789,203460,117328,
发放贷款及垫款(万元),8143,8875,8810,12359,12616,12337,14289,16057,16626,18250,13633,12150,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),2,2,2,5,5,5,5,1003,1003,1003,1003,1000,1000,1000,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,7316,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
