报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),52011,47680,56715,58471,38150,34490,55571,28875,26855,28618,36514,18605,23962,38320,13152,10918,10725,12146,9375,11157,8853,12072,10818,21904,28370,35909,48042,50471,52773,61287,65534,71269,104118,3897,5036,6338,2214,1999,7312,8383,3962,2637,981,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,0,0,
交易性金融资产(万元),--,--,--,--,0,--,--,--,--,0,0,0,0,0,0,--,--,--,0,0,--,0,0,0,0,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,0,0,
衍生金融资产(万元),--,--,--,--,0,--,--,--,--,0,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,0,0,
应收票据(万元),20931,18962,21739,19924,14994,15138,8035,5414,3817,3656,4985,5202,4582,4268,3937,3366,2718,2909,2086,1991,1940,1907,2683,2847,2123,2113,1826,1723,2038,2092,869,1903,931,1038,2092,2674,1945,1125,1274,2340,1100,381,2,
应收账款(万元),105556,98911,95370,95382,100360,94097,88597,86124,86958,75239,64615,71920,71835,65466,48367,51050,52590,47816,41995,43939,41906,31018,27538,29738,27691,24725,21137,22036,20686,16844,17124,18257,17145,14238,10999,9463,8728,7465,7094,6739,5974,5532,3699,
预付款项(万元),6319,3802,4308,4532,5260,4560,4186,6824,5732,7099,4382,36482,19186,6359,3017,3113,4793,6174,4810,9371,8281,15245,11867,11716,7391,6628,2110,8869,2387,7987,6737,8168,4763,4400,3322,6881,7329,6328,5200,2263,420,627,339,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,0,0,0,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,0,0,
应收利息(万元),--,3,458,875,732,631,536,432,329,229,133,69,18,5,0,--,0,0,0,0,0,0,26,63,17,1020,979,784,562,746,513,291,0,0,0,0,0,--,0,0,--,0,0,
应收股利(万元),--,--,--,--,0,--,--,--,--,--,0,0,--,1290,0,--,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,0,0,
其他应收款(万元),1308,1529,1228,2389,1761,1787,1583,20545,1157,1226,1054,1524,806,836,341,322,320,258,160,353,861,613,274,411,296,382,247,377,274,477,330,537,219,611,462,2758,645,266,292,3703,1174,793,1097,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,0,0,
买入返售金融资产(万元),--,--,--,--,0,--,--,--,--,0,0,--,0,--,0,--,--,0,0,0,--,0,0,0,0,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,0,0,
存货(万元),39596,37027,30330,30990,28609,28474,28183,24991,21141,21333,19966,15987,16871,17362,15102,13175,12776,13134,10925,10514,10011,6977,4779,3527,4215,4841,3620,4677,4818,5377,4192,6035,5491,4539,4121,4200,2761,3445,1979,2226,2192,1227,1159,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,8,1,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,0,--,0,0,
