报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),1501353,1678111,1972797,1850414,1891607,1684326,1514019,1538894,1533675,1027190,1033446,1008651,658519,544421,406952,419294,382161,279639,232395,267539,258470,264458,275152,344563,256923,224475,68051,68396,74288,78237,70485,66428,55579,15894,16110,2811,3476,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,85,85,--,33679,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),11371,12439,30449,43205,10098,13995,15115,19561,7365,5594,6239,5230,5429,4167,4792,3552,3141,2371,8767,5269,3562,4138,3915,2895,2144,1160,1764,2584,1603,1420,1532,487,387,308,80,57,107,
应收账款(万元),714517,643304,481373,440875,538532,490044,426411,479999,358113,313086,294834,279385,273498,201353,186871,177034,120109,93810,59883,43110,47583,33664,34572,32092,23988,21165,15566,12702,10987,4379,6496,4952,6173,5621,3371,2161,2171,
预付款项(万元),33421,21666,38070,24778,36861,51570,63085,74061,83720,70765,65248,58993,37124,24576,10621,16226,18125,13783,19681,15594,9961,8627,64653,8453,42058,27647,18534,17164,21025,20308,7304,5174,6501,4052,4001,9230,2293,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),--,5596,5887,4518,--,--,--,--,--,--,--,--,--,--,--,206,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),8363,1757,2010,1331,2823,2402,3256,2247,4391,49556,1939,1446,1468,1541,977,1588,1839,829,683,546,330,285,319,240,682,603,688,729,1149,581,796,574,93,451,372,427,281,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),85094,69279,60099,58255,67723,66994,73163,60129,72471,57884,57632,52698,70659,68674,58383,49499,63841,57123,59390,46435,43158,25310,29028,25117,23379,21352,12354,15509,18664,15049,8617,3772,4684,5749,3578,2743,1959,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他流动资产(万元),177108,268331,57054,89958,133356,247801,255906,2655,1131,503,1484,2317,2855,3531,15753,18009,11916,21376,18059,18293,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
流动资产合计(万元),2531276,2700531,2647906,2513419,2680999,2590811,2350954,2177546,2060866,1524579,1460821,1408720,1049552,848263,684348,685407,601133,468932,398857,396786,363064,336481,407640,413359,349174,296402,116958,117085,127717,119974,95230,81387,73416,32075,27511,17429,10287,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),420612,422713,447157,452088,243620,76625,39425,37625,37933,37622,36572,4664,2664,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
