报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),60041,43733,57706,54751,54311,84060,139528,71019,61378,63904,55071,34325,52720,62593,44118,37098,35357,35295,45171,58451,63250,64264,62392,72815,77577,81098,4993,6019,7230,7144,4182,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15000,--,--,--,--,0,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1171,2327,2164,2755,1740,2007,296,876,879,1009,1399,3132,2582,1528,499,1289,1623,832,283,937,1727,1666,1686,739,490,888,834,505,495,33,20,
应收账款(万元),47313,40983,31553,27760,26079,23938,25739,25370,22649,21907,23601,17841,16695,13547,11484,11833,12106,8858,10010,9952,11414,10445,11398,13150,10875,8323,11538,11168,6671,6351,3473,
预付款项(万元),2022,2285,1823,2125,2192,3384,2243,1365,1431,1309,1630,1442,1081,594,2414,1943,1614,1046,1338,3996,1937,1034,4411,1935,1652,1336,3535,2119,1493,1209,2304,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),632,585,2092,1903,1612,1357,1692,1683,1286,914,540,337,227,59,61,46,114,86,102,102,134,147,141,176,213,146,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他应收款(万元),1161,1104,1338,1494,1611,1742,1943,3161,2867,2534,1584,1026,1473,1126,148,145,238,267,205,178,138,80,135,112,168,173,113,308,88,415,789,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
