报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),8128,8920,11799,25157,11892,22913,20960,38804,18294,23242,34820,37544,15584,11417,13032,20366,10309,13714,21499,8009,4393,6711,12726,9782,11436,7880,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,11099,11099,11099,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),297,684,615,2069,64,120,175,345,423,873,600,400,30,--,300,--,--,--,--,--,--,--,--,--,--,20,
应收账款(万元),40162,54886,43878,36819,36308,31695,33372,33634,29746,18650,21368,20732,15156,14494,13365,12505,8395,6909,5807,5086,4932,5656,3696,2653,2453,3008,
预付款项(万元),4645,4145,3044,1685,2255,1662,2187,1215,2600,1379,1587,1086,1795,845,1706,494,810,537,2598,1390,--,1327,436,2149,129,136,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),6082,1811,2254,1312,2137,1351,1025,593,678,617,701,813,545,604,727,356,319,306,279,327,--,153,100,60,292,157,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),26183,26976,24557,19759,16949,15210,13263,10550,13109,15649,13229,9843,9196,8816,7376,5909,5747,4668,3593,2988,2994,2531,2023,2615,1147,1197,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),3049,2908,3704,1589,2083,1760,1683,566,4747,874,778,298,353,396,--,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),88547,111429,100949,99490,71688,74711,72665,85707,69597,61282,73083,70715,42660,36572,36506,39631,25580,26134,33776,17801,--,16377,18981,17259,15456,12397,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),9091,10818,11517,11517,11167,12074,12269,12322,11722,11675,1814,1280,978,225,225,225,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,683,817,879,940,937,1086,1162,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,1290,1433,1531,1290,1303,1470,1474,350,--,550,565,541,561,574,577,295,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,33665,--,33444,--,32665,--,30857,--,28956,--,28716,--,28137,--,28152,--,21266,--,15235,--,3944,3776,--,--,--,
累计折旧(万元),--,10612,--,9347,--,7941,--,6614,--,5543,--,4499,--,3478,--,2460,--,2126,--,1908,--,1739,1583,--,--,--,
固定资产净值(万元),--,23053,--,24097,--,24724,--,24243,--,23414,--,24217,--,24659,--,25691,--,19139,--,13327,--,2206,2192,--,--,--,
固定资产减值准备(万元),--,765,--,765,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),21657,22288,22904,23332,24393,24724,24287,24243,23615,23414,23731,24217,24242,24659,25225,25691,20841,19139,13095,13327,--,2206,2192,2319,2275,1673,
在建工程(万元),25,983,967,1117,1447,983,809,589,5,--,--,--,2,--,--,--,4595,4449,5553,4843,12436,9634,6066,234,0,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),4778,6714,7302,7673,6284,6573,6814,7081,6745,7014,7305,7634,4985,5119,5273,5438,4050,4078,4068,4112,--,4079,4155,4258,459,525,
开发支出(万元),--,--,--,--,1491,833,342,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),45910,47312,47507,14760,39044,39044,38850,38850,39106,39106,39106,39106,10117,10117,10117,10117,415,415,415,415,--,415,415,415,415,415,
长期待摊费用(万元),250,417,552,673,993,1088,1200,1081,139,144,153,46,11,7,8,9,10,--,--,--,--,0,0,8,13,18,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),3065,3607,3371,3343,2597,2472,2544,2570,2274,1621,1733,1821,1040,972,941,948,594,518,459,442,--,398,342,274,254,189,
其他非流动资产(万元),232,226,259,206,334,1242,1298,353,675,855,12,6,140,582,298,111,850,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),85008,93655,95812,64152,89725,91154,90762,89502,85568,84916,75565,74674,42054,42242,42661,43116,31650,28598,23590,23138,--,16731,13170,7508,3415,2819,
资产总计(万元),173555,205084,196761,163642,161413,165866,163426,175209,155165,146198,148648,145389,84713,78814,79167,82747,57230,54732,57365,40939,33756,33109,32151,24767,18871,15216,
短期借款(万元),9592,12487,14207,9900,6300,9830,7328,11418,11450,12650,12650,7650,12600,7600,7650,7650,--,--,--,--,--,--,--,--,--,2000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,18060,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,520,--,--,--,--,--,--,--,77,112,90,497,405,639,1120,--,--,--,--,--,--,--,--,--,--,
