报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),46772,42176,10842,19056,19793,9702,14104,5427,5804,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,34,8,--,
应收账款(万元),27365,26896,21167,21052,15011,14884,10810,9306,8053,
预付款项(万元),1809,1655,1921,1428,632,478,332,223,423,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),64,23,--,12,23,33,24,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),4818,3524,4463,3960,2443,959,773,1085,523,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),--,--,--,--,--,--,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,
其他流动资产(万元),131,360,2860,1034,1149,498,1517,4585,3010,
流动资产合计(万元),80960,74633,41254,46542,39051,26553,27595,20634,17813,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1000,1000,1000,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),396,330,333,189,--,--,251,349,377,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,2521,2390,2346,2079,--,--,--,--,
累计折旧(万元),--,1816,1776,1730,1473,--,--,--,--,
固定资产净值(万元),--,705,614,617,606,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,
固定资产(万元),733,705,614,617,606,460,290,380,517,
在建工程(万元),--,--,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),890,898,856,892,820,1769,705,789,729,
开发支出(万元),--,--,--,--,--,41,--,--,--,
商誉(万元),3325,3325,3325,3325,3325,984,1886,327,327,
长期待摊费用(万元),455,290,197,231,106,68,117,178,207,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),711,789,730,809,1022,1732,2255,1726,1618,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),7511,7336,7055,6063,5878,5055,5505,3749,3775,
资产总计(万元),88471,81970,48309,52606,44929,31608,33100,24383,21588,
短期借款(万元),--,--,--,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
