报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
货币资金(万元),38928100,37717700,41774700,40852100,44293800,42456600,42466900,45351000,52423900,45508600,49893100,42803900,43283100,44437700,47344900,43461400,47163200,43853300,44243400,41829900,43380200,43073900,42956600,40822800,42041800,38299000,36624300,33627200,33280500,28846200,28279500,26226400,26683500,23734500,23756500,22605300,22605400,16797000,13729300,10927600,18477800,14742518,14666075,12230663,11028084,12025957,10210888,6421665,10773438,8585087,6480306,4565558,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,
拆出资金(万元),24652500,20722600,18638900,14649900,14320500,16024500,14825700,16568000,18287700,16177800,15761200,21937600,22921700,31900100,24381800,21754200,17641600,17094300,16270700,10377900,10802600,10067100,9602400,9407900,8008200,5367700,5015700,5022000,3774500,2889300,3959400,3260900,3645300,3415000,4916600,2201400,2071600,2334300,1611300,1574900,1709500,2318791,1579378,1446521,1743807,1833903,1171789,950850,1182659,964229,1158280,756918,
交易性金融资产(万元),38109300,39495300,49067200,58095800,7460100,7502900,6657600,6762500,8974000,4350400,3749300,4273800,2695900,3090100,3284200,3271700,2721300,2747900,2739600,2746000,2226200,2172200,2346600,1861500,2631800,2023500,2275800,2521900,2042300,1205000,1758900,802100,602400,1623900,1213000,570400,474700,553400,726100,322300,440500,441623,400789,572941,257231,952942,312229,169469,--,0,0,0,
衍生金融资产(万元),3311200,3616600,3436200,2830000,1873400,1603000,972200,621000,784300,1192100,1431500,913600,517500,634400,309800,323200,323100,293800,199800,243500,198600,376600,141100,162700,123400,103800,57000,34500,58700,61700,47600,42000,47600,49600,49900,43800,46500,42000,50600,78600,121600,133968,120230,37690,128547,19697,40706,18237,21175,2553,6684,3824,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,
应收账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,
