报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),72531,78913,68971,73546,87106,182194,101669,141846,134385,55739,57094,52955,47939,72355,11783,22827,20576,22836,15375,1460,1072,4242,1276,3914,2132,5412,3832,7019,3978,9345,17951,19130,17882,20561,21347,23835,26025,2638,320,1936,890,1942,231,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融资产(万元),48070,48070,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收票据(万元),540,540,200,270,300,100,730,550,593,--,--,--,--,--,--,--,--,--,--,--,30,--,--,20,20,--,--,25,800,1000,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收账款(万元),59597,63815,74274,75069,84594,64348,65647,88322,74987,40815,44312,39489,45121,41632,12209,12186,12486,8641,8034,5506,7569,11563,11856,13593,11297,9691,15339,14186,14723,14738,13620,11740,9126,7807,7362,7455,6756,5968,5905,5349,5690,3464,2356,
预付款项(万元),23614,20399,35049,32945,26460,14532,26353,17776,23193,2339,5413,5425,7569,8097,3558,1166,1714,370,1149,3144,7096,5942,10945,9978,8973,9132,9936,10373,19146,17012,17804,10911,13121,9077,9763,6655,3678,866,58,670,882,2054,1525,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收利息(万元),--,28,--,39,88,78,81,23,--,--,147,92,--,6,9,13,21,3,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收股利(万元),1364,93,--,--,102,102,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他应收款(万元),--,58301,40306,50150,39491,35309,21990,13297,13073,9616,6214,6542,5089,2191,5777,5454,2887,1539,10173,438,529,236,890,789,1238,192,856,560,1178,2296,776,621,499,164,485,416,379,767,1309,659,1088,277,705,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
存货(万元),3474,3056,4286,4645,5584,4863,6036,2847,4640,--,--,--,--,--,--,--,--,--,--,26196,24300,24424,23166,22668,22138,20592,20205,18628,19005,17165,18591,17644,15728,15698,14124,12436,10068,8558,7624,6619,7982,7652,6016,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,14,52,473,170,377,393,391,405,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他流动资产(万元),13102,11056,4969,7458,13867,28096,16444,17887,971,5723,3138,3164,3216,15448,7,5019,8178,22,5000,426,526,526,277,177,277,277,2752,2698,253,260,194,131,20,213,--,0,--,0,0,0,0,32,64,
流动资产合计(万元),273202,284271,228055,244121,257591,329621,238965,282600,252316,114403,128699,120066,109325,140134,33343,46665,45864,33411,39771,37170,41123,46933,48409,51139,46075,45296,52921,53489,59083,61817,68936,60177,56375,53519,53082,50797,46908,18797,15217,15233,16532,15421,10897,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
可供出售金融资产(万元),8264,57933,157055,156568,154741,157531,135040,141651,113534,146316,70674,55304,70715,73913,60700,35549,35373,34873,23112,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期股权投资(万元),195297,193912,240438,238897,238060,231970,235030,8912,8113,6765,7163,7543,141767,139523,3718,1658,1792,1650,862,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产原值(万元),--,23124,--,7437,--,6677,--,6436,--,3082,--,2810,--,2684,--,1906,--,1841,--,47451,--,43087,--,41538,--,40662,--,17445,--,17276,--,15612,--,15294,--,12619,--,11654,0,11478,7701,0,0,
累计折旧(万元),--,7937,--,4363,--,3840,--,3447,--,1903,--,1717,--,1535,--,1044,--,956,--,8905,--,7739,--,6556,--,5431,--,4757,--,4200,--,3642,--,3108,--,2684,--,2267,0,1866,1545,0,0,
固定资产净值(万元),--,15188,--,3074,--,2837,--,2989,--,1180,--,1092,--,1149,--,861,--,885,--,38547,--,35348,--,34981,--,35231,--,12687,--,13076,--,11970,--,12186,--,9936,--,9388,0,9613,6156,0,0,
固定资产减值准备(万元),--,5763,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产(万元),--,9424,2886,3074,2971,2837,2907,2989,2947,1180,1033,1092,1223,1149,778,861,930,885,712,38547,39099,35348,35779,34981,35192,35231,12544,12687,12854,13076,11819,11970,12028,12186,10315,9936,9246,9388,9452,9613,6156,6006,3722,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,766,730,4830,4571,4232,717,535,20452,19882,9147,7345,3964,3953,3948,3729,3490,2272,626,607,366,273,2516,1357,306,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产清理(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
无形资产(万元),12989,13570,12392,12982,13562,14169,6012,6533,4040,4125,982,1154,1338,1523,402,415,417,426,433,9673,9726,9767,9822,9818,9872,9926,7900,7876,5996,6030,3617,3555,1394,1404,1414,1423,3361,3380,3404,3420,3418,785,580,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
商誉(万元),261818,261818,653513,654143,654143,654143,659586,848360,850715,455277,366447,366447,366447,366447,48241,48241,48242,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期待摊费用(万元),6925,8180,6893,7001,6326,5993,5813,5875,5733,898,496,223,595,412,341,88,117,146,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,68,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
递延所得税资产(万元),2287,1686,2594,2577,3193,2556,10067,5280,3609,3347,2260,2293,1785,1755,852,860,852,845,349,53,72,72,36,36,29,29,19,19,13,23,--,--,--,--,0,0,0,0,0,21,0,0,0,
其他非流动资产(万元),26177,26197,29114,28375,35392,41223,31437,16914,33954,6714,31437,28387,6484,5729,1780,1780,2080,2180,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,265,0,
非流动资产合计(万元),570358,572721,1104885,1103618,1108388,1110423,1085893,1036514,1022644,624624,480491,462442,590353,590451,116812,89452,89802,41005,25469,49038,49627,50017,50208,49067,45810,45721,40916,40464,28011,26474,19400,19477,17371,17319,15218,13631,13233,13375,13222,13326,12089,8412,4676,
资产总计(万元),843560,856992,1332940,1347738,1365980,1440044,1324858,1319114,1274960,739026,609189,582508,699678,730584,150155,136117,135666,74416,65240,86209,90750,96950,98617,100205,91885,91017,93837,93953,87094,88291,88336,79655,73746,70838,68300,64428,60141,32171,28439,28559,28621,23833,15573,
短期借款(万元),53821,56855,65750,67750,66825,72625,56275,41200,11200,6100,20500,21080,4280,31780,30580,34180,32380,--,--,29918,36618,41568,42086,41286,37083,35083,32580,33000,31080,29580,28577,21947,18580,18580,15880,13980,10980,10980,9900,8700,7900,7400,4170,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1207,2037,1673,1734,2665,869,1604,880,673,--,--,--,--,0,--,0,0,0,0,0,0,
应付账款(万元),--,27830,--,33481,37324,31647,23206,28700,29784,8966,11518,11082,13934,9043,4264,3570,2906,877,3979,9793,8109,8665,9139,9861,7258,8277,9222,9043,7179,8819,8665,9511,7281,6742,6807,5306,4776,2546,1138,3122,4754,4662,2645,
预收账款(万元),4637,5780,6469,7438,6119,8122,10934,11170,10155,1486,1396,1606,2169,2351,29,69,120,119,--,2212,944,1329,978,1004,1118,1012,816,407,234,113,955,416,250,74,397,452,183,166,13,176,96,0,0,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
