报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),1311564,1308659,1307290,1059405,890679,1161860,1149353,1234168,999887,783532,429828,360854,470158,585122,715147,533610,606775,491055,837364,793287,483224,--,503014,1120561,959731,695825,663484,908356,766355,834623,295704,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),949903,1176124,1095900,930703,975637,810807,703424,743497,576727,540788,401759,348416,439999,468921,418337,453186,526524,474139,458641,402323,414612,--,449392,302672,638646,152929,236878,182920,198135,96263,0,
应收账款(万元),415073,383971,431363,483663,461944,518025,637359,539296,452347,436647,582839,653402,564496,640554,593807,690614,480464,615717,573624,549136,355950,--,474626,542067,305287,260794,331097,223723,116562,151562,0,
预付款项(万元),179885,298188,230668,195502,125795,223503,165439,146140,82222,135288,115354,121056,88974,156229,153494,152867,85557,205044,116341,209211,200266,--,153045,255818,218019,119166,163282,306034,338056,89211,0,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收利息(万元),6080,36,73,80,73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,
应收股利(万元),16760,4367,5367,5367,5367,4367,16367,13467,22379,22379,13277,28600,28600,13600,7026,7326,9326,9326,17220,4220,4720,--,24800,15000,--,--,19856,160,113,--,0,
其他应收款(万元),--,--,20544,17583,13578,37885,22382,59617,50552,33099,51488,36442,27252,31611,29244,30327,24989,25278,27586,37478,20991,--,32345,48817,24855,21618,27983,19608,27057,35688,0,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
