报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),1682595,2194732,1822544,2017324,1205202,1340140,1643067,1082771,979541,646942,485127,529047,508281,626352,438214,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),32474,--,--,--,--,--,14277,14277,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),400,400,400,200,300,500,--,360,925,1757,390,3157,3132,440,30,
应收账款(万元),8569,6888,4546,3308,3922,2591,1958,940,2076,561,1295,1430,1138,226,328,
预付款项(万元),882996,1026336,639591,744288,1318562,748066,616069,135238,543068,687485,369426,322041,288065,344290,440334,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),3382811,2852023,2133862,1604848,1702343,1717343,1131974,934635,672639,384053,361086,169157,230836,109706,54389,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),8793735,7637908,6499602,6063466,4681418,3949255,4369947,3843220,3609305,3272773,3810253,3349373,2983043,2867280,2446731,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
