报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),36298,76493,68120,95890,56292,69956,82406,100019,99764,132371,78365,102784,118033,196408,87825,142095,189364,105311,42388,49635,80358,66617,71574,55432,84655,88075,64121,87675,15660,21118,28021,10050,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),5610,4234,3490,4227,12226,33811,34204,13775,19685,11847,4896,9819,11532,7726,6678,4247,9193,2291,17863,14041,18409,10295,26268,15174,6338,8928,15321,2281,5308,12230,7843,1051,
应收账款(万元),4967,3047,4679,3394,565,681,978,1585,1581,1765,1002,2269,1524,1242,546,771,893,888,926,1290,2916,4162,2766,4046,5487,14936,6066,9822,3165,1939,2180,2391,
预付款项(万元),3762,2662,1787,3431,4449,2166,4877,3454,1352,2047,2141,1816,1790,2982,3043,3948,1932,5448,3601,41550,52650,52893,18493,28188,37723,33740,21987,27532,20573,11704,1033,2334,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
