报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),28373,2204,3642,9071,10502,5692,6146,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),587,771,1288,1535,1686,1563,1062,
应收账款(万元),20781,20944,15432,15093,12614,10591,6797,
预付款项(万元),774,689,583,707,334,446,712,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),881,1060,1046,854,509,483,534,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),6879,6425,6183,6646,6455,6694,4836,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),442,476,2178,1266,82,31,95,
流动资产合计(万元),58717,32569,30353,35172,32182,25501,20182,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),186,187,189,191,--,--,--,
固定资产原值(万元),--,10681,10418,10300,10198,--,--,
累计折旧(万元),--,5735,5600,5474,5303,--,--,
固定资产净值(万元),--,4945,4818,4825,4895,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),6465,4945,4818,4825,4895,5060,4582,
在建工程(万元),3039,3935,3379,2358,3,27,30,
工程物资(万元),--,--,--,--,--,--,--,
