报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2007-12-31,
货币资金(万元),2745357,2749934,2983170,2920946,2771747,2785840,2975691,3297107,3165301,3262441,4184385,4892391,4777193,6817377,7249008,3398488,2254754,2674924,1389980,1271401,1200508,1068483,1166558,1312200,1217954,1162762,1233668,1614920,1689148,1973837,1712410,1700914,1930706,2330631,1471472,1444002,884605,
结算备付金(万元),654543,578207,774934,670199,907973,778102,844901,931801,1040168,990774,879530,947561,1525569,1152417,1059712,390948,627734,275048,175570,260502,175163,148278,187270,152464,141206,180938,179094,189458,170795,198309,128762,570483,177818,323293,220590,158944,64436,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8334,--,--,0,--,--,--,
交易性金融资产(万元),3464356,3720574,3893141,3722530,3443849,4334039,3835138,3200514,3513331,3620138,3298860,4516936,2501983,3725984,1297564,489325,509421,549850,268825,165454,215575,120066,124714,125319,157021,138516,232991,117020,83540,98409,168454,239246,50069,58851,7156,4281,--,
衍生金融资产(万元),83,1,3070,2163,2039,826,2284,172,44,--,0,1405,3455,2369,2273,2,--,--,1,--,--,--,--,--,--,--,--,44149,--,1009,--,--,--,0,--,--,--,
应收票据(万元),300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收账款(万元),363068,185687,160154,97278,113590,78961,95050,93827,125396,30404,42934,23816,37529,22864,24986,26810,20592,14477,15657,14372,9368,--,--,--,--,--,--,--,--,--,--,--,18796,0,21661,--,--,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收利息(万元),175907,221144,253693,221576,200700,195259,192137,163780,144745,172343,159577,154561,146880,148500,90971,63861,78317,77288,51957,40749,31890,17965,11339,12856,13393,9502,5670,3484,2616,515,1558,105,--,35,--,132,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收保证金(万元),302263,376706,397100,374831,331940,304342,306892,272173,243132,282595,295272,346670,247821,312258,364083,328386,327261,225213,181538,154059,146802,74923,57266,82467,96285,83239,93756,96994,63511,66824,79409,78385,30686,70009,21413,22547,20100,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
买入返售金融资产(万元),772660,804782,972142,1266160,1324194,1454998,1352994,1223967,1221562,973312,893770,839076,553428,383690,411619,222120,221698,320583,145067,65985,84401,55505,59806,86254,52604,43900,33485,15850,58667,2000,--,--,--,0,--,--,--,
存货(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
