报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),263861,351117,604866,447234,398526,494354,543227,524123,467172,470903,551988,595336,500377,590011,409217,427858,325706,448692,474466,446003,402482,511041,355180,295305,264000,316596,244939,333882,338369,406322,383733,585379,545008,538466,224383,151827,200944,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,591,454,389,349,340,380,416,372,371,338,304,322,318,309,327,391,410,426,410,370,427,444,201,420,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),--,--,--,--,--,70,50,--,143,143,--,--,--,--,100,300,200,--,--,--,300,200,--,--,50,--,--,40,--,--,--,--,0,0,0,195,40,
应收账款(万元),79420,69065,81367,92353,97368,85008,95221,103852,96367,104659,101701,67517,74697,67566,79216,84989,83789,54951,66386,69678,78394,46878,55802,69085,58467,54635,54246,46864,48877,49174,44640,44761,75766,62360,59711,55812,26237,
预付款项(万元),22869,22119,18180,15965,16431,21472,14645,21961,25100,19512,19668,25282,17662,15319,13195,15487,18270,18614,12253,18108,16838,18806,13806,20632,19504,19543,20904,24048,25650,20694,16788,14037,10507,9840,9371,10262,8492,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,--,--,368,8,758,321,277,--,--,--,--,5,80,304,271,277,630,850,564,1291,1838,903,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收股利(万元),112,--,--,--,75,75,--,--,2500,--,--,--,8500,--,--,--,2375,--,--,--,7361,--,--,--,--,1934,1616,2270,2270,--,--,1684,1714,0,0,0,0,
其他应收款(万元),110997,211255,111635,13418,111304,212122,121929,194271,195405,228494,128119,55661,74953,225035,354606,278564,104722,134520,11701,17931,17050,13406,10671,18151,16028,36910,34938,35478,13628,27891,27389,44841,61582,48228,48411,67851,71906,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),44855,47335,28908,45122,41501,42578,29497,51045,46273,42374,30031,36651,33354,28792,24161,25581,17583,14032,13192,13961,12815,10671,12167,12692,12520,14316,10769,11831,9629,9868,8823,10492,10144,7691,6644,4603,4712,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,427,427,40853,40853,867,867,867,867,867,867,867,7044,15784,18227,20568,26465,10063,10063,11558,11601,11806,9384,9124,4033,867,867,867,867,867,867,
其他流动资产(万元),72592,2611,2702,220381,120384,30310,80331,7,0,--,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
流动资产合计(万元),594706,703501,847658,834841,785597,886748,885221,895962,833387,906939,872402,781313,710414,928261,882119,834306,554136,672645,586272,582445,555131,623778,475332,426232,380953,455809,379322,466547,448197,523483,485832,702471,705957,667880,349830,291620,313618,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
可供出售金融资产(万元),50415,51123,51133,52131,50783,48706,48588,48552,48522,48915,48874,48660,49537,49164,48804,47590,1505,1469,1578,1724,1748,1948,1845,1609,1718,1724,1742,1785,2027,2317,2396,2093,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,70000,70000,70000,85000,145000,175000,82000,67000,60000,30000,30000,--,30000,30000,35000,39000,--,--,--,--,3000,3000,3000,3000,0,16000,
长期应收款(万元),14086,12888,24189,24215,24877,24679,38483,39191,29165,26864,34251,25492,31767,28741,29645,28277,30225,43969,47168,78874,54855,54979,58730,72021,70521,70562,68515,68420,58333,33377,41571,9753,4753,5187,5187,6053,6920,
长期股权投资(万元),112582,115129,113970,106697,103583,101760,108009,104301,102218,100401,100113,95242,93725,97840,97969,95687,382583,381024,381635,379783,367071,368820,367573,358822,360147,401023,395083,331972,323046,321652,319864,97279,96864,99724,99203,92022,57423,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
投资性房地产(万元),14365,14474,14615,14140,13820,13230,13345,13257,13328,14146,14258,14380,14501,14613,14730,14841,14958,15074,15191,11843,11925,11267,11341,11415,11489,11563,11637,11711,9918,9978,10039,729,737,746,755,789,824,
固定资产原值(万元),1373904,--,1340319,--,1300755,--,1288625,--,1184411,--,1161185,--,1144933,--,1130735,--,1097160,--,1090044,--,1010079,--,1008235,--,954837,--,956500,--,877436,--,843093,--,818067,0,805286,745840,0,
累计折旧(万元),632511,--,599073,--,574913,--,542669,--,517761,--,488260,--,463882,--,436064,--,411038,--,384074,--,361019,--,336822,--,312161,--,291138,--,268130,--,244689,--,225578,0,204109,165148,0,
固定资产净值(万元),741393,--,741246,--,725843,--,745956,--,666651,--,672925,--,681051,--,694671,--,686122,--,705970,--,649059,--,671412,--,642675,--,665362,--,609306,--,598404,--,592489,0,601177,580692,0,
固定资产减值准备(万元),2243,--,2243,--,2243,--,2243,--,4020,--,4056,--,335,--,335,--,335,--,335,--,335,--,335,--,24,--,2622,--,24,--,24,--,24,0,24,24,0,
固定资产(万元),739150,731998,739003,718624,723600,734673,743713,739162,662631,659516,668869,670030,680716,687060,694336,674472,685787,693216,705635,640460,648724,660174,671077,634754,642651,650537,662741,610926,609282,599824,598380,583547,592464,594860,601153,580668,487653,
在建工程(万元),141541,130471,105905,84015,82210,74755,68292,69355,136748,138384,131961,131479,123121,118896,116181,126079,112324,106625,96329,156393,139702,134559,121444,129471,117782,105796,91874,140223,119741,110564,109370,120939,105899,100746,92359,97482,150796,
工程物资(万元),1657,1686,1593,2651,1681,1248,1103,1144,1013,999,1191,1676,1873,1656,1425,1854,2287,2002,1720,1973,1866,1758,1581,2851,2750,2420,2530,3908,5437,1069,1143,1440,1146,1255,2026,951,463,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,-5,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
无形资产(万元),99948,99949,102145,106159,106975,107849,108328,80256,80248,79040,79283,79760,80270,80805,81312,81378,81880,82386,81706,81761,82173,82545,82913,83200,83756,84247,84752,74698,74140,70857,71097,81023,81374,80929,81366,80511,81434,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9,9,--,--,--,0,0,164,144,124,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
递延所得税资产(万元),3002,2620,3340,3189,2969,2727,3197,3237,3026,2969,3301,1937,2133,1638,2107,1998,3957,3672,3975,1718,1722,1467,1819,1686,1526,1550,1786,1435,1551,1444,1467,927,1258,1158,1109,2935,932,
其他非流动资产(万元),7657,7776,8546,4359,4010,4449,5434,8589,3771,3952,4260,3499,4123,3857,3463,3606,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
非流动资产合计(万元),1184403,1168114,1164440,1116181,1114509,1114075,1138491,1107044,1080670,1075187,1086361,1142156,1151766,1154271,1174973,1220783,1490505,1411437,1401936,1414529,1339786,1347517,1318325,1325831,1322340,1364422,1359660,1245087,1203483,1151084,1155327,900731,887496,887599,886323,861556,802569,
资产总计(万元),1779109,1871615,2012098,1951022,1900106,2000823,2023712,2003006,1914056,1982125,1958763,1923469,1862180,2082531,2057092,2055089,2044642,2084082,1988207,1996973,1894918,1971295,1793656,1752064,1703294,1820231,1738982,1711634,1651680,1674567,1641159,1603202,1593453,1555479,1236153,1153176,1116187,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2000,2000,2600,2600,600,600,600,0,0,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,4000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
