报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),35518,35839,67701,96718,100715,84087,74423,77826,142779,47815,57105,42666,51705,50920,69180,22495,24263,40379,54024,27882,25629,24516,40978,29517,28391,39891,15802,3609,16324,7247,6499,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),214,110,814,254,253,674,1582,1047,912,1726,2665,1656,1506,--,1185,--,250,--,1592,--,289,--,10,125,--,595,640,--,--,--,--,
应收账款(万元),12460,11461,9164,9859,12219,8902,7586,10290,11114,9316,8604,7892,10015,5625,5886,12248,8649,7262,3594,8159,9684,5643,4354,7918,4598,5684,5754,5465,1591,1704,1009,
预付款项(万元),914,2513,616,2959,2257,2285,2053,3118,522,1735,1644,2052,2899,3331,975,6838,9792,11748,5302,6673,8589,8262,3292,5958,8814,5260,703,971,2474,1193,366,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),386,--,--,--,846,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),11548,12743,6480,7358,5359,4187,3861,4860,4690,4439,4245,6449,6197,5684,3874,6359,5701,5089,2974,3261,2930,3384,2982,3425,1985,1743,1672,1728,977,966,279,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),55193,50184,45811,41835,32877,35035,28366,39485,37525,45239,38549,41696,36500,52024,42877,49951,44703,42655,37090,49711,34749,36809,30456,13138,13239,8672,7824,13429,9606,7349,5198,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),151991,165397,209779,141944,133567,89142,106992,84756,19615,111421,19509,5699,1674,16472,11251,13087,11412,6000,9460,3300,8100,--,--,--,--,--,--,177,--,--,--,
流动资产合计(万元),268224,278248,340365,300928,288093,224313,224864,221381,217158,221692,132320,108111,110496,134055,135227,110976,104770,113133,114036,98985,89970,78614,82072,60080,57027,61844,32395,25380,30972,18458,13351,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),2282,1825,1925,7015,7015,15015,15015,1345,3064,3064,3064,3064,3065,2491,2490,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),30610,30874,30868,30106,29827,32212,34467,38874,35596,35657,33949,30991,30621,2535,2712,2086,2039,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),19435,--,19501,--,21079,--,21241,--,24367,--,24772,--,26638,--,26693,--,15443,--,13794,--,13210,--,13486,--,12472,--,8128,6548,2598,1107,930,
