报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),18107,22115,18055,13812,13815,18638,9484,8252,7020,10848,9656,5559,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),220,10,1189,2585,700,1001,2082,6038,1070,90,100,133,
应收账款(万元),23898,17037,16669,16654,23625,21018,18828,21396,20573,22507,19352,14370,
预付款项(万元),987,511,354,379,376,646,319,328,579,1825,1111,955,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,38,--,--,--,
其他应收款(万元),371,475,654,273,549,455,551,491,909,1212,1020,1052,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),13065,11910,10333,10712,11549,9323,9344,9831,18209,31634,23968,19230,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,161,890,--,--,--,
其他流动资产(万元),99,481,6000,12000,4000,--,--,--,--,387,264,--,
流动资产合计(万元),56747,52538,53255,56415,54614,51080,40608,46496,49289,68502,55471,41299,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),482,482,482,482,1122,1122,1122,1122,1122,1122,1122,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,741,2614,2702,2142,--,
