报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),490169,552412,282292,229368,171707,150228,115873,88102,70014,57594,87454,76956,86109,43608,72349,86922,29347,4781,9345,6677,8847,49956,18704,20157,28929,37733,40982,41480,50370,52996,66930,1884,4535,5347,3668,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
交易性金融资产(万元),1,4,4859,4969,32,392,739,684,129,173,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收票据(万元),126118,128626,117101,126636,131312,121825,101415,71403,66766,57140,20251,16696,18957,15191,14082,13549,9585,9552,2632,5897,7933,6336,8507,10200,7280,8582,10023,8155,5890,7262,2775,3469,4509,2312,2737,
应收账款(万元),42308,32426,25648,33490,13918,20891,17784,10303,7301,3243,26289,13854,15091,16339,12002,11038,3749,3560,6083,5480,2710,2603,3226,2693,3034,2691,3058,3684,4670,1671,3104,2031,533,673,222,
预付款项(万元),4051,1904,6281,6704,5996,3998,2432,2862,2973,1690,2591,2711,4796,3949,2370,2033,896,699,865,443,33901,615,1024,6175,4857,2085,3723,6074,1376,812,3126,2359,2095,715,637,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收利息(万元),2362,2272,1898,1537,142,215,129,124,73,196,82,76,273,228,230,318,112,2,84,72,90,199,286,295,379,236,620,386,438,196,--,0,0,0,0,
应收股利(万元),1454,1546,1412,--,--,3152,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应收款(万元),5105,4026,2524,4720,5788,2411,1503,1706,1723,1004,2467,1745,1488,1444,1275,570,152,114,155,178,204,169,217,332,404,152,296,385,436,246,288,283,124,73,70,
