报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),404620,232936,155912,258906,369525,384106,291050,357506,177401,267148,399254,250351,181485,123887,35156,37881,44942,34691,55705,75595,61554,57307,70606,75984,85225,80286,87820,95039,73701,79213,94106,102721,94025,74173,89957,104155,19727,26554,19118,22726,22144,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,500,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收票据(万元),3378,3525,5662,9975,4487,4667,3742,5532,2429,3817,5033,7601,5212,5632,7477,6722,5394,6687,7817,8742,5877,4189,3716,7174,5482,7158,3839,9988,5448,4340,4610,3845,1661,2695,2310,875,763,840,990,469,442,
应收账款(万元),67111,54203,43765,48238,57706,53692,47634,46453,53830,53702,48713,54450,65164,65486,51400,67228,75842,71661,68208,77392,84176,80059,66650,68813,84677,79425,65245,67299,81346,75279,59865,56357,69618,65122,54155,54674,58733,55360,52302,36446,33336,
预付款项(万元),10238,7826,5613,2629,8163,6407,7861,4734,36228,5321,4443,2541,4481,6018,6473,2829,8704,5155,5980,4008,8057,7593,6799,3911,10201,9834,8059,7930,12271,15505,16947,8872,13246,10651,11561,10601,11950,10068,13889,7988,7037,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收利息(万元),--,103,96,42,32,9,159,115,25,7,31,31,15,25,174,188,--,18,119,201,143,175,478,357,128,796,544,503,101,264,429,233,--,0,0,0,0,0,0,--,--,
应收股利(万元),--,--,--,0,--,--,--,4416,--,--,0,20424,--,--,--,--,--,--,66,66,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
其他应收款(万元),91813,74312,76840,292346,44901,51366,77879,34073,39211,60262,28063,45566,26352,27687,4083,3365,4626,3610,4688,2949,4862,4454,4883,2794,5056,4143,4259,2530,2798,3095,2654,1541,2675,2645,2714,2313,2508,2832,2611,3277,8493,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,--,
存货(万元),1186545,1222050,1190535,774653,911444,813078,820081,774120,799822,658605,484022,573958,646712,671653,35488,30269,39128,37148,34209,33935,38564,39335,36759,32952,33965,32793,40619,41150,45004,44894,39697,34326,34411,33875,33379,31296,31358,26633,38679,18404,19446,
