报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),154985,203572,238698,260388,329298,278210,243395,252938,326174,239632,177835,180620,189779,166813,160791,145139,199816,142187,144922,117441,188081,172488,170200,170074,195803,147067,137799,151242,116524,136256,126017,121783,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),20000,20000,10000,25000,--,10000,10000,--,--,50000,30000,25000,--,35000,20000,45000,--,--,--,--,--,--,--,--,--,--,--,--,5000,35000,--,--,
交易性金融资产(万元),89724,91311,88893,9203,4048,6919,7529,7640,6266,39578,14689,24523,41487,49428,38745,48286,35436,35304,32837,32687,35910,37153,35646,34413,30680,20440,22520,7740,19986,25199,2894,444,
衍生金融资产(万元),58,--,--,0,0,0,495,1903,1483,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),52372,61517,30348,45393,53153,52890,26793,66443,55493,56904,57655,77664,62960,59740,59884,100802,94075,79325,54122,99041,126977,114679,110981,81590,129260,95551,98742,153851,127357,96972,39547,33150,
应收账款(万元),40577,107792,140346,208311,123829,135180,134925,127333,67431,82198,73013,104051,84659,127353,123389,135410,87936,200752,191515,219864,105214,238268,218770,218599,97639,229701,196299,85271,161104,58601,55564,60647,
预付款项(万元),10756,14696,16189,25115,23370,16319,11585,15613,14373,10069,12299,12735,6093,12618,14729,16668,29209,27914,17837,24142,19452,21087,20404,18555,16722,16180,11599,10778,21035,36952,39515,14524,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),1771,1498,980,1658,1415,1203,1979,1821,1203,1001,803,136,188,189,34,34,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,1100,1100,--,--,181,--,--,--,--,--,--,--,1344,--,--,--,--,--,--,--,--,--,25,--,--,--,--,--,28,--,
其他应收款(万元),--,--,10684,14039,12343,9629,8406,8468,10493,11178,6905,7840,6764,8588,6866,7401,22849,9194,8976,9032,6766,23631,17286,14624,19428,13990,16081,13261,15865,9741,20434,24559,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
