报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),59469,68482,35187,48123,47712,74048,43351,32430,50872,36701,31466,27359,51300,36777,31088,28419,22255,34808,59843,67145,67036,66234,62656,59476,65811,68065,66000,63457,70686,84706,80049,79709,84833,12117,8708,6789,5081,2592,750,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收票据(万元),8563,9034,4703,10996,7390,9901,4706,3079,3241,3525,3393,2307,1565,2608,2639,2412,2153,3894,4079,3657,1816,3291,3386,2571,5191,5708,1923,2033,2572,4991,3305,2716,2020,1068,906,755,711,586,220,
应收账款(万元),90001,82908,65199,55691,45213,38579,42209,40640,37775,33161,30506,28130,24643,21870,26184,25398,21295,15596,19315,18591,15505,13763,16807,16493,12685,9498,13446,11035,7583,5129,6759,6588,5585,4106,5634,5277,3899,2917,1717,
预付款项(万元),7991,4002,4867,3334,4379,1629,2765,2697,2458,1496,2216,2699,1801,1426,1320,2003,2135,1183,2624,2704,1876,1569,3181,4103,3297,1837,2571,2853,2844,856,983,432,504,693,405,79,87,101,70,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
