报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),553287,606249,688056,682999,765439,704463,704181,367483,127741,170500,252022,176862,211966,263121,210429,245037,197134,203732,211790,198648,215549,224495,272720,396631,328271,420508,437349,435478,466430,331500,340053,384361,387810,357379,331881,99611,99388,29473,57068,10275,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,
交易性金融资产(万元),96,96,22981,50154,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,84,84,84,84,82,--,--,--,--,--,--,--,--,0,0,0,0,9,23,21,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,
应收票据(万元),325767,277442,216775,236008,221289,201101,174544,182574,158685,140407,146224,137547,178273,148277,166457,226031,234762,222929,195721,211879,193264,149987,105094,103138,124985,96622,81202,109588,100015,73033,44901,38504,32004,26633,17516,15708,12409,19658,30692,8498,
应收账款(万元),693443,702763,527155,650271,589814,581945,605429,555543,289270,296229,279680,275372,292005,280056,235522,207814,226107,215876,211093,193758,201437,194693,177659,141809,156600,104647,92552,69374,79574,80012,69602,50537,61740,55491,53360,46567,55756,47205,41042,62374,
预付款项(万元),159948,69225,71675,40681,63397,66981,72910,58590,11994,10248,7366,3780,12851,8864,8977,4260,12242,12696,9853,8797,13880,13742,8413,4387,11118,7850,8715,6726,9937,8284,6440,2528,4874,5443,7889,6050,5219,5059,4893,1206,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,
应收利息(万元),3274,3378,2797,1240,1735,1129,1393,3288,--,--,48,23,--,--,--,--,--,--,--,--,--,200,950,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,
应收股利(万元),32829,22064,25529,17072,1056,1056,1056,1466,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,
其他应收款(万元),--,100625,113760,36834,47304,36260,58725,32872,7197,5325,6012,5585,5768,6195,4285,7034,8927,6681,5707,3590,9517,7752,6761,3203,6480,2946,2084,1014,1280,1743,1404,689,1204,1609,1321,949,1141,766,585,4065,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,
存货(万元),421825,409683,385155,327129,287514,241814,224689,204494,129577,123029,110341,117549,127503,119669,131462,127769,126970,116844,116254,115058,111205,90051,88634,99255,100271,61706,78344,85970,81136,74794,66445,67556,47846,47734,49208,47002,36685,46156,57024,49017,
