报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),14392,19630,21290,27038,21212,23441,22152,20584,10722,22518,6478,11668,7031,7045,4734,12586,11357,12599,17137,13978,24411,21453,23577,26493,28754,2337,6474,4429,68,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),11014,14317,21755,23852,24902,23728,30752,11928,13310,12057,12265,6648,5274,10979,20264,5921,5778,8654,9561,6439,4015,4634,5998,4338,2993,2003,974,899,345,
应收账款(万元),39618,32845,44015,55020,40639,29006,37120,40078,40563,33587,17104,16824,13583,14642,18250,17655,12997,8615,10553,8655,8356,6127,7145,7912,5775,4860,5195,2964,2279,
预付款项(万元),915,1681,1170,1309,695,1068,975,683,1127,1203,903,1285,1370,1674,736,4806,8037,7490,1509,3423,2035,2733,2872,2194,1669,707,435,691,234,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,55,48,--,--,211,211,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),9301,9229,7254,3614,2866,6945,2122,2167,1671,5039,839,1163,940,1159,696,743,560,504,336,773,491,457,306,185,176,327,240,155,110,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),23245,27795,24757,48575,38247,31609,28308,31734,34175,30618,14161,13672,12181,10047,9556,10748,9672,8297,7358,7863,7126,6046,6411,6468,6378,5687,4635,3078,1726,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1668,1849,2068,5944,5541,3117,3143,7696,7923,2983,5403,3236,3089,2437,1987,--,--,9,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),100153,107345,122309,165352,134102,118913,124571,114869,109491,108004,57153,54495,43468,47982,56224,52513,48449,46167,46454,41341,46646,41451,46309,47589,45745,15921,17953,12217,4762,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),3000,3000,3000,1000,1000,1000,2400,2400,2400,1000,3900,5514,1900,1900,900,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),2661,2887,2859,3565,3531,3465,3465,3833,3833,2000,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,3573,3927,3902,3641,3009,3009,3009,5171,--,--,--,--,900,900,1960,--,6917,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
固定资产原值(万元),83281,--,82615,--,118267,--,111855,--,93619,--,63729,--,53315,--,45919,--,26732,--,24470,--,18838,--,15239,--,12507,--,10380,2759,--,
累计折旧(万元),23202,--,19896,--,30571,--,26145,--,22249,--,10110,--,7746,--,5809,--,4526,--,3213,--,2364,--,1841,--,1368,--,999,696,--,
固定资产净值(万元),60079,--,62719,--,87696,--,85710,--,71369,--,53619,--,45569,--,40111,--,22206,--,21257,--,16475,--,13398,--,11140,--,9381,2063,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
固定资产(万元),60079,61204,62719,87488,87696,84519,85710,75379,71369,76542,53619,47309,45569,42814,40111,25960,22206,22177,21257,17397,16475,13484,13398,12491,11140,9455,9381,2063,1680,
在建工程(万元),218,231,248,1452,1068,3075,3292,1548,3409,2248,558,362,3212,3358,6171,14035,13636,10644,11535,1951,1716,2426,1338,233,98,8,--,351,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,77,--,--,--,--,--,--,--,--,--,--,--,64,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
