报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),135105,155383,150136,294797,152309,168702,146913,131955,104878,126010,115980,106547,89501,86222,64347,108286,75679,69654,68937,71335,63566,73522,70252,97231,98170,112638,140555,112576,110917,148444,149182,53065,52074,51976,35720,43038,38991,44397,42941,12326,17171,20477,24225,26037,23725,18519,18704,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),29,--,581,77,697,113,155,138,289,332,23,84,166,506,--,338,298,133,828,1164,551,603,642,794,305,1171,1360,907,447,--,531,604,0,592,366,193,315,813,1091,--,--,--,--,--,--,497,0,
衍生金融资产(万元),0,1343,829,11,54,106,278,55,246,120,150,119,235,287,439,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),213592,192535,198493,188489,150611,130984,125093,124507,100030,92521,123506,140551,130035,121063,126525,153776,148867,129480,120659,119937,105597,71574,71842,74823,71534,60541,76326,108598,101350,83376,80572,75211,47682,28896,43633,29151,26461,19728,24292,9264,6181,3641,7780,14546,11494,4638,5322,
应收账款(万元),224891,191960,163174,159288,155645,129821,116010,126978,140198,123650,108431,114677,120721,101312,93158,107886,135291,109544,94422,85124,109549,96475,70658,67408,76551,58695,46922,53999,71868,56983,50924,52046,63561,50710,46350,41193,41258,38697,36443,14587,22198,23691,16085,17470,26435,27291,16310,
预付款项(万元),3950,6809,5390,5969,4133,4339,3781,3070,2368,2336,2323,3196,2356,2192,1748,3448,2811,4401,4505,2494,3619,3570,2131,20653,24398,24054,26865,15483,10895,11992,8383,5221,3955,12261,2158,655,710,1986,2954,376,600,142,604,480,512,133,166,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收股利(万元),--,125,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,
其他应收款(万元),5813,9279,9422,7527,6725,8646,7463,7329,6215,7836,7485,4417,3566,4087,9221,3725,2409,3399,3332,3348,2874,4001,1873,3616,1922,3205,1721,2984,1802,2781,2029,2301,2304,1990,854,1577,1365,3709,2348,312,243,447,203,484,262,302,110,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,--,--,--,0,
