报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),4625,16065,5686,2450,1762,2711,4400,2960,3862,2946,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,
应收票据(万元),390,472,445,912,258,435,576,358,535,448,
应收账款(万元),4913,2832,2341,2147,2373,1921,1612,1772,1185,1049,
预付款项(万元),214,260,328,688,406,372,269,709,657,426,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),45,59,42,50,54,50,28,121,207,445,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
存货(万元),4430,5212,5662,4615,4836,4472,3950,4099,2209,2640,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),13618,2415,15301,288,65,12,0,8,--,228,
流动资产合计(万元),28236,27315,29805,11149,9754,9973,10836,10026,8656,8181,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,20997,--,20644,--,19240,14699,14746,4733,--,
累计折旧(万元),--,5204,--,4561,--,3967,3437,2595,2339,--,
固定资产净值(万元),--,15792,--,16083,--,15274,11263,12150,2393,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,
固定资产(万元),15584,15792,15831,16083,15029,15274,11263,12150,2393,2510,
在建工程(万元),8856,7343,6759,6266,4273,3330,6501,3042,10853,4923,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2363,2379,2394,2409,2425,2441,2473,2537,1122,1148,
开发支出(万元),103,43,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),550,432,517,485,470,462,460,550,221,203,
其他非流动资产(万元),1708,1838,1032,686,2110,1661,730,1073,897,2102,
非流动资产合计(万元),29166,27827,26533,25929,24307,23168,21427,19352,15487,10886,
资产总计(万元),57402,55142,56337,37078,34062,33141,32263,29378,24142,19067,
短期借款(万元),1260,1500,2500,3240,4240,4370,3770,3970,2200,1800,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,
应付账款(万元),2403,1653,2669,2601,1344,1155,1612,2315,2626,1883,
预收账款(万元),379,1307,770,884,183,376,836,444,292,390,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),15,14,22,258,0,0,253,262,0,--,
应交税费(万元),1342,984,316,788,596,518,723,592,722,329,
应付利息(万元),1,2,3,5,5,5,6,8,4,3,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),344,320,580,289,339,366,295,406,336,187,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),864,212,273,441,187,182,298,306,308,100,
流动负债合计(万元),6608,5990,7133,8505,6893,6972,7794,8302,6488,4692,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),961,961,961,961,961,961,961,1061,1061,1111,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),961,961,961,961,961,961,961,1061,1061,1111,
负债合计(万元),7569,6951,8094,9466,7854,7933,8755,9363,7549,5803,
实收资本(或股本)(万元),8000,8000,8000,6000,6000,6000,6000,6000,6000,3382,
资本公积(万元),25293,25307,25110,7265,7265,7265,7265,7265,7265,5840,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,
专项储备(万元),4,--,--,--,--,--,--,--,--,--,
盈余公积(万元),1555,1555,1555,1555,1094,1094,1094,679,333,447,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),14981,13328,13577,12791,11849,10849,9149,6071,2996,3595,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),49834,48191,48243,27611,26207,25208,23508,20015,16593,13265,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),49834,48191,48243,27611,26207,25208,23508,20015,16593,13265,
负债和所有者权益(或股东权益)总计(万元),57402,55142,56337,37078,34062,33141,32263,29378,24142,19067,		
  
