报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),59012,52370,54028,57457,69320,54169,57203,62749,60858,67694,65916,65437,62164,57796,56614,62947,58817,60502,8022,11968,13800,13130,7630,10665,11021,15660,10567,9625,11805,14690,14156,20362,24662,29511,26295,25256,27570,5555,3418,3643,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收票据(万元),33294,40329,32219,41073,40074,45424,32596,23676,24327,25513,17534,21364,24481,26799,17964,23232,26724,27584,23420,25860,27657,30669,18414,19861,17554,20074,18573,12421,10879,13509,14063,10653,10198,10985,6382,9961,4311,2786,1556,483,
应收账款(万元),97575,86775,93210,86344,75828,82577,80942,76134,64681,61160,57667,53688,49315,52509,49302,46916,40187,40283,44830,38327,33899,28466,32609,27563,24782,22841,25885,23487,21097,16620,19859,15157,19771,13321,14428,10246,11715,8561,6726,7651,
预付款项(万元),2904,2218,4324,2249,3222,1741,2324,2944,2876,1481,4157,2688,3527,1389,1487,1063,758,907,1767,1790,2501,3077,6241,3823,2222,1498,3653,2403,4633,5801,7180,8460,5259,2830,2865,830,487,1256,801,892,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,
其他应收款(万元),--,255,423,457,469,367,696,596,407,283,714,653,401,493,208,218,232,227,250,228,231,218,79,81,70,69,64,87,84,72,59,64,48,62,50,49,50,41,59,212,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
