报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),112367,246601,107795,132928,113106,192789,116852,145279,122801,205860,102967,147536,125661,236949,117258,121333,159741,254674,150536,188132,106752,166219,99693,155872,145976,228624,185546,78024,100565,165724,122654,153096,148389,184856,170378,172636,189839,32968,18020,15507,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
交易性金融资产(万元),70468,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,300,72,136,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收票据(万元),41157,34061,27364,27050,27944,26084,17678,16724,28058,27258,20733,22256,33823,22655,19110,24885,25279,22641,31872,35092,34226,36974,26542,28780,32782,44027,24183,6301,1395,2247,--,1172,1541,--,573,65,240,12,0,78,
应收账款(万元),1145305,1211627,1218188,1209910,1133170,1219858,1170802,1157706,1085510,1148145,1115606,1115080,1084300,1133819,1271664,1248236,1126400,1085974,1069688,919783,758400,724509,698041,651994,545986,533594,476790,474108,408266,377624,335549,304194,222207,200627,178591,136327,103835,88831,62001,64967,
预付款项(万元),24782,18711,18074,17653,14774,18787,10732,10876,11122,10569,6181,7549,11542,10046,9073,6589,11241,7370,9608,8715,7543,6029,6326,5827,6008,4886,25361,26930,27076,6056,10421,4568,6189,3538,6630,3424,3227,3249,1811,3832,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,8,7,22,27,118,125,--,80,297,353,826,996,702,408,187,2358,1731,1090,--,--,--,--,--,--,--,1545,991,616,--,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,1800,1800,1800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
其他应收款(万元),--,35402,61526,45796,45456,42515,51366,49403,50725,49597,57741,55783,55717,51839,64260,56467,53605,51933,60226,59037,55609,53203,48825,42720,42170,34125,31982,32351,27487,29264,35857,28673,28826,16753,20889,15918,14946,12774,8766,9013,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
存货(万元),197911,174414,225823,224118,216215,174019,185251,171349,167457,129349,131094,120088,143818,94290,125744,118235,95011,86460,65093,61412,57938,50443,55017,51566,52216,48877,38950,39267,37207,37006,37960,26505,24251,17629,24420,22405,11750,8473,7758,6480,
