报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),16802,35393,10367,11839,32889,7350,18164,16410,33843,16008,40873,26102,21049,25131,27694,104373,101739,104926,103349,103992,110747,110884,112259,114215,107902,102650,102363,109270,111578,128697,147717,144961,158195,155485,12080,10069,7999,6023,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),2,1648,1529,1415,1580,1647,3199,2936,1746,1614,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),1099,535,556,229,237,230,251,491,1357,517,443,1210,856,573,1769,3397,2580,1214,912,1218,707,587,535,534,514,943,762,680,--,7000,--,--,--,0,80,0,0,0,
应收账款(万元),13535,10002,8876,9253,7102,7026,6233,6864,6970,8708,9506,8384,6660,4066,2797,2564,2627,3311,2863,2603,2546,3233,4263,4681,7821,8806,11344,11095,9367,6470,6288,4715,2759,2313,2256,2412,2051,2387,
预付款项(万元),11734,8269,2972,2423,1482,1442,1436,1156,4400,4848,2386,1123,5067,2142,2648,2012,3763,3371,2816,3830,3679,2790,5900,5344,5864,5924,6168,6093,11373,6402,6529,4179,1768,1456,2550,3660,646,403,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,533,832,1096,865,857,872,864,574,574,521,373,367,575,745,883,524,636,698,477,899,682,1487,835,1144,566,1447,924,1168,603,1068,1207,--,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,935,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),5426,6730,7381,7508,1325,779,741,1227,1553,962,1045,620,1327,1603,2546,2964,1841,1393,2570,2585,1218,1177,4974,5380,6199,6012,5797,5801,6803,9479,6586,4077,445,412,222,179,66,24,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),17266,17124,12235,10802,11853,11047,9568,10665,12769,9343,10063,8840,9071,6769,6341,5398,7771,6780,5168,4759,5859,6561,6729,5508,5841,5395,4997,5349,4553,3855,4441,3107,2439,2436,1758,1342,1374,760,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,33,60,77,101,15,32,57,80,139,308,429,555,28,35,42,91,32,39,43,60,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
