报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),73135,53239,51784,57334,55430,81520,90134,33820,35861,74194,49673,30335,45961,34467,24035,51105,43529,36069,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,1204,988,468,1437,969,76,915,365,--,405,--,2592,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),30610,26733,22935,19366,18908,26686,18488,12883,12956,15393,18590,12509,14837,9239,7765,7427,6158,2995,
应收账款(万元),150120,148782,155976,157569,130684,122092,144296,132626,110612,87808,115661,104649,95383,76143,91266,63139,57782,42076,
预付款项(万元),435,1031,2048,2299,2684,581,783,657,1230,1015,269,373,143,144,70,234,23,102,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),10237,8051,13416,7780,7741,6114,7832,7633,7284,5512,7719,7245,7054,6127,4519,3969,3145,2464,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),104771,103296,122445,113684,98237,92845,82199,82678,75823,89088,86658,92087,84876,86259,64431,81020,51094,60482,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),14058,9951,9629,5093,6510,2785,39,72,86,3067,1546,2314,1751,2109,1767,1280,989,1326,
流动资产合计(万元),383365,351083,378234,363125,320193,332623,344976,271358,244320,277514,281086,249588,250921,214853,193852,208581,162721,148105,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),800,800,800,800,800,800,800,800,800,800,800,800,800,800,--,800,800,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1690,1740,1796,1838,1887,1937,--,--,--,--,--,--,--,--,800,--,--,--,
