报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),23273,20465,60639,10547,13424,17573,18505,24115,6168,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),12777,8795,7493,8737,7765,6414,5504,6356,3608,
应收账款(万元),14825,15486,15297,14082,11748,10692,10115,8502,5346,
预付款项(万元),3057,3146,2441,2440,1091,1123,1207,1683,866,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),1703,1710,1931,2422,2311,2437,2407,546,131,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),23938,22632,21359,16147,17488,12647,10570,8960,11465,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,0,1,1,--,--,--,--,--,
其他流动资产(万元),30679,29628,595,406,565,663,149,68,87,
流动资产合计(万元),110253,101862,109756,54784,54391,51549,48457,50230,27670,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,48507,--,44643,--,35377,15501,--,--,
累计折旧(万元),--,10585,--,8881,--,5860,3781,--,--,
固定资产净值(万元),--,37921,--,35762,--,29518,11720,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,
固定资产(万元),37963,37921,36794,35762,32470,29518,11720,9288,6055,
在建工程(万元),534,463,1246,1232,2628,3059,11670,235,512,
