报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),16679,8817,3360,4040,11084,16917,9277,10312,16158,19705,20116,24211,5646,14441,5152,8420,19847,10672,13710,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),3314,3696,1423,263,1600,1600,30,198,398,795,734,738,1554,3285,601,740,350,255,205,
应收账款(万元),28036,34847,29670,31278,23939,23980,26014,20691,16506,16843,17935,20053,17137,14574,23407,17473,14195,16978,11998,
预付款项(万元),1977,1714,1481,715,1393,711,3151,1581,1995,1357,1634,1952,2050,1343,1467,904,721,757,426,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),431,190,393,178,446,153,383,319,187,162,452,264,776,177,259,692,591,338,259,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),26897,23453,26199,23600,21651,19153,18290,17471,17985,15999,20124,18199,14954,12389,15659,19198,18054,12359,7287,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),2293,736,403,370,1886,2242,3767,5469,2766,5419,737,3230,228,2364,1784,3,306,108,297,
流动资产合计(万元),79629,73452,62928,60442,61998,64755,60913,56041,55995,60282,61733,68647,42345,48572,48330,47430,54064,41466,34181,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,4139,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),10598,6064,1439,1389,1309,1271,5260,5315,5262,4218,1132,1154,1098,1053,1029,1026,920,828,725,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),779,791,803,815,827,839,851,863,813,2929,2954,2979,2934,3028,2980,3003,905,--,--,
固定资产原值(万元),--,43590,--,42843,--,43205,--,40628,--,38247,--,37862,--,37502,36491,35909,28711,--,--,
累计折旧(万元),--,16259,--,15248,--,14236,--,13333,--,12272,--,11543,--,10708,10299,9900,9242,--,--,
固定资产净值(万元),--,27330,--,27595,--,28969,--,27295,--,25975,--,26319,--,26794,26192,26009,19469,--,--,
固定资产减值准备(万元),--,92,--,92,--,92,--,92,--,92,--,92,--,92,92,92,92,--,--,
固定资产(万元),26964,27239,27378,27503,27823,28877,27275,27203,27406,25883,25886,26227,26481,26702,26100,25917,19377,6353,4890,
在建工程(万元),1757,1882,2037,1714,1700,1473,2188,1972,1828,1715,1474,1337,1059,806,1079,977,6591,12043,1199,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),10316,10485,4782,4855,4925,4303,4337,4392,4447,4120,4171,4227,4289,4281,4293,4295,4593,4791,3604,
开发支出(万元),2009,1498,2576,2128,2006,1720,1441,937,189,133,120,86,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),338,158,102,170,104,116,60,66,75,46,49,--,--,--,--,2,77,230,436,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1057,1045,869,874,801,773,785,728,655,655,677,753,667,667,759,812,650,548,405,
其他非流动资产(万元),239,237,2993,3427,3047,2782,650,740,993,453,864,834,477,316,127,312,292,1096,737,
非流动资产合计(万元),54055,49398,42979,42874,42541,46292,42847,42216,41667,40152,37328,37597,37005,36854,36366,36345,33406,25888,11995,
资产总计(万元),133684,122850,105907,103316,104539,111048,103760,98258,97663,100433,99060,106244,79350,85426,84696,83774,87469,67354,46176,
短期借款(万元),21830,6830,--,--,--,4200,4000,300,800,500,--,2000,4827,7736,8080,6846,7500,9300,4000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
