报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),104689,90095,78039,74083,79314,95408,81074,28197,26478,39082,47686,33259,21438,31933,21096,30002,14068,29016,32066,52465,48184,66831,60722,82669,14559,14214,27338,15452,11697,15817,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),7372,11013,9487,6750,6440,5542,8982,7022,6534,8430,6224,6584,4242,10530,8959,7637,7579,7154,7979,6393,2132,2978,4637,3751,2982,1682,4110,2869,3454,1661,
应收账款(万元),14165,22657,17074,22958,22217,24553,25260,28538,28200,30249,37202,32157,20812,26129,25912,28585,18690,19313,7996,12215,11471,6761,7086,7579,4632,2460,2152,2346,2230,4067,
预付款项(万元),5044,4053,4347,3428,9266,7064,7971,5403,4052,7567,10059,9110,13585,10734,9310,10502,6137,3398,7714,10595,15306,9106,16733,8033,8018,9285,4752,6606,3265,3766,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,16,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,--,--,
