报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),4946,31445,5445,4258,1881,3813,3119,1765,658,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),260,958,286,259,--,10,10,--,20,
应收账款(万元),16163,17635,15727,13637,9234,8788,4809,4122,525,
预付款项(万元),452,143,287,276,198,80,116,46,58,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),760,575,689,564,481,207,368,168,41,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),3066,1959,2090,1342,1321,1490,2833,828,241,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,
其他流动资产(万元),33865,6000,3300,8800,7770,4200,5257,3008,2500,
流动资产合计(万元),59512,58715,27824,29135,20885,18589,16512,9938,4044,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,6048,--,6035,5651,--,460,--,--,
累计折旧(万元),--,943,--,743,346,--,112,--,--,
固定资产净值(万元),--,5105,--,5292,5306,--,348,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,
固定资产(万元),6638,5105,5194,5292,5306,5389,348,207,32,
在建工程(万元),50,1726,979,955,15,0,3338,34,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),3086,3125,3154,3176,3333,1971,2016,406,473,
开发支出(万元),--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,596,596,
长期待摊费用(万元),23,31,38,46,73,87,41,63,2,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),88,93,82,73,49,43,40,51,46,
其他非流动资产(万元),--,--,--,--,--,1382,616,684,--,
非流动资产合计(万元),9886,10080,9447,9542,8776,8873,6399,2041,1149,
资产总计(万元),69398,68795,37271,38677,29661,27461,22911,11979,5193,
短期借款(万元),--,--,--,--,--,--,700,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,
应付票据(万元),3431,2722,3337,3026,2194,2798,2675,915,--,
应付账款(万元),9277,9761,7568,9294,6555,7089,7476,2418,212,
预收账款(万元),17,7,2,3,2,0,--,3,49,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),299,281,201,376,316,205,275,181,34,
应交税费(万元),441,694,375,481,536,482,7,518,72,
应付利息(万元),--,--,--,--,--,--,1,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,
其他应付款(万元),64,709,10,43,14,18,636,551,661,
预提费用(万元),--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,
流动负债合计(万元),13529,14174,11493,13223,9617,10592,11771,4586,1028,
长期借款(万元),--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,
长期递延收益(万元),659,667,674,682,700,--,--,--,--,
递延所得税负债(万元),16,19,22,25,36,42,47,98,119,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),675,686,696,706,736,42,47,98,119,
负债合计(万元),14205,14859,12189,13930,10353,10634,11818,4684,1148,
实收资本(或股本)(万元),10800,10800,8100,8100,8100,8100,6500,6500,4000,
资本公积(万元),29082,29082,4663,4663,4663,4663,3063,--,--,
减:库存股(万元),--,--,--,--,--,--,--,--,--,
