报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),35667,33654,37073,49634,39160,30759,28662,23451,23851,25277,11322,11781,46331,42503,38401,24670,29679,34141,35189,31451,41381,47204,48854,51183,52790,5547,5331,4080,2948,1979,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),53114,47749,29974,26479,32996,30289,17468,14560,12735,10728,8540,11402,11813,9251,9363,8119,9795,11370,10856,10503,9748,9401,9155,9032,8013,8726,4629,4755,2913,1422,
应收账款(万元),75178,80822,76400,66061,60250,60055,61637,56281,48207,39532,39705,33642,33828,38772,38954,37605,32151,30620,29479,26591,22625,21923,18829,14905,12485,9717,10063,7111,5069,3171,
预付款项(万元),1671,1636,11249,7277,12981,10581,18011,8957,6580,3920,9677,5870,3465,3612,5112,6197,4638,4279,4707,3010,7223,1627,2190,1599,1457,828,546,1219,303,377,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,8,6,33,30,60,56,279,162,111,170,1336,1132,970,802,1116,871,794,394,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1203,1176,1343,1227,1412,708,620,504,572,227,196,161,124,144,67,66,34,34,16,35,44,51,38,130,99,102,115,29,78,31,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),20302,20034,21630,16483,15833,15647,14945,12409,12271,12854,11205,9178,7944,7858,7976,8196,8514,6802,5460,4394,4463,4509,5023,4325,4008,3723,3480,3120,1902,884,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),46649,47024,49476,44753,63737,70447,69854,79460,82833,81821,31811,33250,628,743,2000,12000,10300,4000,--,--,--,--,--,--,--,--,--,--,6,3,
流动资产合计(万元),233784,232095,227145,211913,226369,218487,211204,195628,187081,174389,112516,105340,104410,103045,101984,97024,96446,92378,86677,76785,86599,85587,84883,81569,78852,28643,24165,20312,13219,7866,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),584,534,--,--,--,--,--,69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,484,150,150,--,--,--,70,--,--,--,--,1239,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),3547,3575,3602,3630,3549,3549,--,--,--,--,--,--,--,--,--,13019,13130,13299,13468,13637,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,74559,--,68260,--,64546,--,56201,--,51588,--,46057,--,44355,--,27549,--,23607,--,20849,--,18009,--,15425,--,13440,12451,9823,--,--,
累计折旧(万元),--,22305,--,20304,--,17813,--,15452,--,12805,--,11015,--,9373,--,6790,--,5669,--,4707,--,3855,--,3144,--,2544,1989,1532,--,--,
固定资产净值(万元),--,52254,--,47956,--,46733,--,40749,--,38783,--,35043,--,34982,--,20759,--,17938,--,16142,--,14154,--,12280,--,10896,10462,8292,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),53286,52254,50929,47956,47585,46733,42330,40749,40756,38783,35990,35043,35388,34982,35639,20759,19169,17938,16372,16142,14940,14154,12690,12280,11417,10896,10462,8292,4570,2723,
在建工程(万元),17445,15505,9225,8360,1168,633,608,455,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1598,--,
