报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),324434,413437,465630,327365,336409,374701,496811,340283,333531,370544,515822,367478,281826,309991,336540,338267,352143,409523,474897,437230,380606,449134,525694,488045,421777,463487,538466,530294,431587,499147,445350,446262,359151,215535,169819,155375,116221,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100000,71500,60000,--,60000,--,--,--,--,--,--,0,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
应收账款(万元),6484,5641,4886,7736,5553,5754,5538,6107,6965,3084,5871,4903,3324,3034,3097,3310,2574,3429,4114,3756,2388,3582,2623,4138,2816,2459,5063,4198,2904,3662,3104,5834,4169,4009,2491,2331,2762,
预付款项(万元),4549,4169,3092,5214,5213,4539,5653,21791,13920,10010,7404,14619,12129,12111,8491,27917,20378,7000,4484,32051,30599,30109,8192,64132,56012,70566,58099,36238,27228,13801,11510,6861,8162,33506,32091,12656,5623,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
应收利息(万元),88,99,99,76,76,58,44,1198,1074,546,706,185,836,484,2938,1971,2644,2912,3173,2793,3111,2553,3316,1900,2327,1528,1873,1333,1233,1858,978,394,504,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
其他应收款(万元),33594,32841,31603,32187,29666,28594,28387,28036,28418,31534,29102,24467,24784,24671,25246,23624,23082,23666,21632,20425,19739,21218,19943,19315,17050,16100,15813,14358,13680,15533,16139,17426,18290,19125,15051,13192,9584,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
存货(万元),121301,127736,136457,177971,150655,132314,142920,113886,99645,98772,103516,175061,147748,137965,139494,125847,113888,82791,91680,44627,39343,38868,42506,38595,32718,34792,43457,33146,24906,24693,28973,24145,19453,17766,20459,19801,16358,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
一年内到期的非流动资产(万元),5752,5650,6531,10966,45776,44038,36670,10488,10491,13644,10374,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
其他流动资产(万元),247251,265326,215142,273332,277284,281953,240716,340506,279309,302521,199189,201639,174937,188076,196609,130000,56000,65000,65000,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
流动资产合计(万元),743453,854899,863439,834846,850633,871952,956740,862296,773353,830655,871983,788353,645583,676331,712416,650937,570710,594321,664979,640882,547287,605462,602274,676125,532700,588932,662770,619567,501538,558694,506053,500922,409730,289942,239911,203355,150548,
发放贷款及垫款(万元),33612,33546,34663,31274,29874,22408,15096,17340,9365,1962,1643,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
持有至到期投资(万元),15225,15225,15225,15225,15225,15225,15225,15225,15225,15225,15225,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
长期股权投资(万元),--,--,--,1421,1533,1533,1542,1970,2140,2268,2371,2500,--,--,--,--,--,--,--,--,0,0,--,0,--,--,--,--,--,--,0,10000,0,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
投资性房地产(万元),2387,2403,2420,2444,2458,2477,2495,2752,2770,2753,2634,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
固定资产原值(万元),468838,--,464146,--,281018,--,280480,--,281015,--,207366,--,249049,--,236627,--,193085,--,189401,--,179814,--,177193,--,142873,--,140416,--,138381,--,137607,--,129459,0,86394,82762,0,
累计折旧(万元),90396,--,82398,--,75294,--,69548,--,63812,--,58125,--,68629,--,64266,--,59377,--,55522,--,50695,--,45986,--,41136,--,36528,--,32833,--,28581,--,24914,0,21970,16442,0,
