报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),46028,53882,46987,10601,19525,31293,65668,64188,81363,86692,82408,94666,42403,46364,48158,54395,63598,14365,18295,21614,15974,19052,19699,23060,22053,24891,24968,29745,--,7141,6567,3641,5827,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,1990,1740,640,--,--,100,--,--,2960,1200,750,--,360,550,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),7773,6342,13826,10460,5060,9143,8114,9134,4793,9153,19421,13863,14921,15566,13021,10331,18311,21166,17001,16173,19614,23706,20360,16437,18082,14985,15361,13837,--,9108,11133,7464,1897,
应收账款(万元),7043,9151,7792,8149,7133,6963,7727,6024,10026,9000,6820,6821,5049,8133,12763,8971,6279,10285,9920,7508,7617,5074,4926,6399,5524,7247,6475,6378,--,6695,4792,4728,2494,
预付款项(万元),640,1088,1403,1256,782,820,520,891,887,1740,1083,1538,1682,1240,1735,1420,3891,5802,3844,4254,4914,3639,2995,2245,5367,2665,1187,508,--,1229,623,341,1495,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,689,234,--,--,--,--,1,--,317,217,388,168,170,329,243,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,750,--,--,4091,--,--,--,--,--,7,7,--,--,--,--,--,--,792,1092,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1289,524,597,474,703,740,913,903,1227,1155,1264,1106,1221,1033,15791,15335,370,347,368,331,493,476,424,334,372,309,354,220,--,350,166,245,266,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),12173,11680,14721,11086,10776,9908,12847,13131,13485,13444,12457,10498,11902,9551,10107,9189,9747,8902,11447,10053,10083,10297,12070,11092,10981,9697,9953,8088,--,7194,6882,5660,6122,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),11458,11382,16164,59082,50857,32860,2618,2205,1764,1512,1415,1815,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),86404,95489,101724,101109,98927,91727,98407,96478,113546,123011,125092,130703,79337,83797,102545,99883,102196,60967,61667,61025,61653,63444,61224,59566,62740,60343,58298,58775,32738,31716,30163,22080,18100,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),39075,39075,39075,39075,39075,45075,45075,45075,5715,35075,5715,5715,5715,5715,4800,4800,4800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),39985,38828,38955,38715,33245,36605,35552,33515,62055,29095,62895,61678,26841,26167,25187,23567,14452,10030,9594,8415,9150,9028,8956,8990,3667,3512,3386,3185,--,3417,3082,2950,2911,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),4467,4532,4508,360,367,374,381,387,394,401,408,415,421,428,435,446,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,82228,--,82261,--,42740,--,41290,--,38334,--,36834,--,27744,--,26335,--,24643,--,19378,--,16828,--,15258,--,14963,--,14884,--,13981,13494,11587,9032,
累计折旧(万元),--,19212,--,16650,--,15449,--,14148,--,13123,--,11864,--,10789,--,9767,--,9025,--,8172,--,7475,--,6829,--,6375,--,5802,--,5139,4684,3715,2984,
固定资产净值(万元),--,63015,--,65611,--,27290,--,27142,--,25211,--,24970,--,16955,--,16568,--,15618,--,11207,--,9353,--,8429,--,8588,--,9082,--,8842,8810,7873,6048,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),62518,63015,63457,65611,27591,27290,27134,27142,24280,25211,24709,24970,21451,16955,17243,16568,15424,15618,12052,11207,9483,9353,8973,8429,8484,8588,8752,9082,--,8842,8810,7873,6048,
在建工程(万元),2920,2818,3129,5538,40628,39206,36627,34489,32754,29160,20168,16755,11297,12573,10970,11111,9743,4237,7071,6518,5508,4324,3546,3296,1931,1999,3635,3440,--,1881,1600,2527,2033,
