报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),28813,39466,33565,41848,52847,93419,100287,117837,96446,159911,43227,30055,29826,20003,21166,24396,21016,23770,28752,32371,26070,27621,28176,32326,31695,33628,39948,6413,4860,11450,1429,1540,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,--,--,--,--,--,--,--,--,--,1,1,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),123,167,70,146,395,457,690,200,40,182,847,274,125,154,542,304,177,187,216,111,219,420,30,129,--,40,10,113,56,69,--,--,
应收账款(万元),28046,28863,26946,25951,30631,31876,29872,34430,35900,38726,37602,49178,41993,40497,34110,38967,28586,26541,20739,20545,18010,15605,14534,14033,7978,7441,6213,5645,3348,1604,2256,1056,
预付款项(万元),3710,2737,2394,1390,3948,3896,3679,2194,851,1079,753,523,3253,3140,8188,2626,2172,1833,1637,687,1369,1213,1180,1253,1659,1532,1602,982,898,387,36,114,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,219,434,836,--,--,--,--,--,5,5,2,5,92,54,215,124,285,347,311,220,106,142,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),13612,12539,17881,14510,16551,18030,15728,14255,14356,17319,14019,14584,17023,13693,12335,7170,6250,7681,6730,6099,7048,5089,6416,4838,3621,3498,3329,3301,3606,2161,2805,5251,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),51786,50824,49145,50102,56480,55493,53067,54572,54047,54244,53544,43875,42513,32141,29348,33401,33094,32158,24087,22603,26118,26281,22342,17760,21984,14930,9663,8711,7561,4486,3018,2719,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),22842,22669,29363,24500,17174,16950,12099,8502,--,--,--,--,0,0,--,0,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),2391,2398,2201,1402,1827,1691,890,1077,141,46,56,27,0,0,--,0,--,--,0,--,0,--,--,--,--,--,1,--,--,--,--,--,
流动资产合计(万元),151322,159663,161564,159847,180072,222245,217149,233066,201782,271506,150047,138517,134739,109634,105689,106870,91388,92225,82376,82540,79119,76577,72989,70560,67044,61211,60766,25165,20329,20156,9545,10681,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),50201,30593,30073,30270,31979,21887,25846,14993,50327,18800,8100,600,0,0,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,
长期应收款(万元),16601,17266,10878,16570,9306,10116,8443,13021,13142,13662,3800,--,0,0,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),81693,77827,75952,78492,59486,47371,50000,48618,9863,8378,8223,7368,7357,4109,823,758,1011,648,900,--,0,--,0,--,--,--,--,--,--,--,4448,16,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),15393,10473,4856,1318,1338,1928,1958,1353,1373,1394,1414,1213,1229,1246,617,625,--,--,0,--,0,--,0,--,--,--,--,--,--,380,--,--,
