报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),169707,251671,226457,196843,125986,136305,110667,139597,58892,124760,44370,31097,24815,56575,23523,34301,55210,44902,34755,
结算备付金(万元),--,--,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),19925,33520,39619,18252,16380,25539,15142,7654,1531,8384,3259,8330,9974,10124,9466,9891,4905,2104,3516,
应收账款(万元),189495,205141,180571,153428,123079,136938,115527,125417,105593,118808,78989,69536,40364,57066,28983,31472,32791,21913,8082,
预付款项(万元),26777,32614,21064,15741,20915,12809,5099,4455,6617,4120,5279,5523,9016,2432,6440,3421,3463,9427,3691,
应收保费(万元),--,--,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),18040,33562,23133,22098,25041,9727,11131,19564,23705,14943,13776,14284,11725,14107,4887,8986,9899,6564,7933,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
存货(万元),171674,128572,128498,94833,71793,63077,81606,67807,64425,55890,62868,53629,47504,31544,56109,28992,40489,36028,34174,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,0,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),24413,21764,17690,11635,11539,8431,2646,2616,4503,5017,6879,1182,3443,755,191,112,213,278,294,
