报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),31258,60564,30342,37324,41878,74483,38847,134839,37217,43065,23010,31205,22811,31443,23639,15542,8138,12771,9701,15450,17775,22563,21907,21249,22167,28693,22999,27922,34809,38725,36763,41641,47275,49380,48251,4454,4124,2878,172,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收票据(万元),4390,1788,1563,4470,3613,1060,936,871,1175,485,1362,139,269,623,339,59,10,104,275,364,478,636,320,198,820,617,159,95,210,133,70,70,200,2140,0,0,0,0,0,
应收账款(万元),105361,105952,88305,82144,79829,77709,63817,70631,60179,56490,49693,47908,43434,43073,40352,36216,35507,36619,28996,25932,23498,26432,23584,21777,23022,21279,18413,18473,17915,16561,13812,10641,7357,5967,5005,5207,4071,2774,1149,
预付款项(万元),19862,15719,17449,17689,12473,7602,11518,9517,8426,8903,8801,8994,8926,7132,7279,7134,6223,4818,3912,4865,4456,4003,4087,5395,6134,4302,5389,4613,3318,3216,7025,2971,1280,1692,688,659,880,935,569,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收利息(万元),604,604,455,243,784,703,27,220,212,342,238,238,109,308,579,--,37,37,38,106,70,204,220,246,151,348,230,295,149,379,355,236,209,69,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他应收款(万元),18899,16830,12913,13371,9341,9352,12988,11866,11741,3636,3926,2887,3112,2731,3008,1948,1366,1234,1510,1854,1801,1156,1189,1011,975,830,1312,1347,1303,1115,1264,722,527,248,287,391,653,505,187,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
存货(万元),55108,55073,77763,57248,53550,52716,56299,47387,40214,20529,23880,20714,22552,17759,17387,13314,12457,11098,13153,9292,10071,8602,9011,8297,8055,9603,8939,9114,8787,6609,4974,4457,3604,5493,4461,4677,5989,4259,7184,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
一年内到期的非流动资产(万元),6515,6671,1666,2419,2419,2419,588,658,747,778,575,21,21,21,21,21,54,54,54,54,54,54,76,70,78,76,--,64,--,--,--,0,--,0,0,0,0,0,0,
其他流动资产(万元),70652,70899,62445,67130,83911,82773,81510,11363,1474,1569,1205,1818,1516,1835,1061,973,973,1108,695,458,514,530,813,849,1026,916,551,580,434,346,166,32,297,180,18,10,56,0,0,
流动资产合计(万元),312650,334102,292900,282039,287798,308817,266529,287352,161386,135799,112690,113924,102750,104924,93666,75208,64765,67842,58334,58377,58716,64179,61208,59091,62427,66665,57992,62501,66924,67084,64430,60770,60749,65170,58709,15398,15773,11351,9260,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
可供出售金融资产(万元),38609,37412,21516,18446,17632,17632,12472,11817,9586,9471,39,39,39,39,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期应收款(万元),8071,7841,3595,2860,2841,2823,--,--,--,--,253,46,43,39,103,103,63,63,94,122,127,127,141,158,168,191,242,242,--,--,--,0,--,0,0,0,0,0,0,
长期股权投资(万元),4970,3163,8423,2398,1869,1303,3153,1468,3866,2166,8932,1636,1584,1641,3749,1441,751,609,705,503,548,556,564,--,--,--,--,--,--,--,--,0,--,0,0,0,0,12,12,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
投资性房地产(万元),4073,4108,4155,4190,4226,4261,4306,4341,4307,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产原值(万元),--,41300,--,26228,--,25607,--,26773,--,25317,--,22634,--,21985,--,20071,--,18743,--,17613,--,16998,--,14165,--,13514,--,15498,--,14017,--,8807,--,6650,0,5981,5455,0,0,
累计折旧(万元),--,13005,--,14668,--,13490,--,14371,--,12652,--,11580,--,10361,--,9203,--,7938,--,6992,--,5975,--,4939,--,4068,--,3327,--,2537,--,1921,--,1295,0,989,744,0,0,
固定资产净值(万元),--,28295,--,11560,--,12117,--,12402,--,12665,--,11054,--,11624,--,10868,--,10805,--,10621,--,11024,--,9226,--,9447,--,12172,--,11481,--,6886,--,5355,0,4992,4711,0,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产(万元),28358,28295,11584,11560,11902,12117,12408,12402,12957,12665,11237,11054,11169,11624,11850,10868,10595,10805,10954,10621,10926,11024,11068,9226,9199,9447,12450,12172,11721,11481,7670,6886,5488,5355,5297,4992,4711,4006,1864,
在建工程(万元),--,--,19494,19439,17494,16736,14417,13435,12738,12635,9108,15491,15021,15013,14873,14842,14729,13805,13141,10961,10726,10570,9055,8848,8804,8797,3972,232,--,--,--,70,66,0,0,0,0,0,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,2,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
无形资产(万元),31868,32068,21084,19360,17841,18294,16745,15659,16015,12132,11029,9313,9109,8746,7754,5865,5792,5906,4228,4213,4298,3937,3244,3102,1680,1467,2357,2393,945,903,666,650,648,467,208,209,222,2,2,
开发支出(万元),7940,6154,9699,10806,11644,9868,8576,9313,7429,5759,5318,4604,4137,4245,4083,3378,2632,2192,2929,2149,1547,849,1325,388,1414,881,1203,918,640,433,554,448,289,288,507,242,94,0,0,
商誉(万元),357926,357926,360172,360172,360172,360172,298219,264929,264515,77602,72662,44823,44823,44823,45239,21783,20363,20363,20321,19164,19164,14281,14592,4497,4497,4497,4497,4497,4497,4497,3152,2012,--,0,0,0,0,0,0,
长期待摊费用(万元),2224,2048,2065,1855,1794,1389,553,547,595,432,539,565,592,506,519,531,530,550,569,667,635,610,502,458,438,453,505,278,255,260,298,291,--,0,0,0,0,1,1,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
递延所得税资产(万元),7589,7107,4691,4621,4495,4412,2532,2732,2658,2447,2271,1765,1874,1472,1618,797,683,730,409,458,441,459,377,307,344,298,238,334,273,227,323,93,102,112,81,87,98,158,109,
其他非流动资产(万元),29303,5207,--,--,754,754,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
非流动资产合计(万元),520929,491329,466478,455709,452664,449762,373381,336644,334667,135309,121388,89336,88390,88148,89827,59608,56139,55024,53353,48859,48414,42413,40868,26985,26545,26031,25463,21066,18331,17802,12665,10449,6593,6222,6093,5530,5125,4179,1989,
资产总计(万元),833579,825431,759378,737747,740462,758579,639911,623995,496053,271108,234079,203259,191140,193072,183493,134816,120904,122866,111687,107236,107129,106592,102076,86076,88972,92695,83455,83567,85255,84886,77095,71219,67342,71392,64802,20928,20898,15530,11248,
短期借款(万元),51067,37029,32027,36972,32219,31039,14294,12289,23414,27514,17114,16914,11280,10870,15570,14480,13480,11480,9480,8980,6590,7490,7890,7190,7490,7490,6700,5800,2600,4600,2500,2000,400,1000,1000,600,600,0,400,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付票据(万元),3501,3214,4509,7338,5252,2996,6420,12820,2091,5777,10476,4346,3381,4629,5550,4146,1313,586,2086,1261,--,--,53,301,1013,1347,214,1442,1415,1041,3599,0,853,2198,191,2050,1420,0,0,
应付账款(万元),18546,24040,14735,13041,13026,19407,9763,10744,9913,8233,7178,7536,9212,7003,5559,4243,5042,6617,5863,5001,3931,3011,2624,3193,2805,4032,3035,4206,6026,5701,3899,5247,2279,4409,2274,2834,3413,2819,3004,
预收账款(万元),29144,33489,39845,30541,30273,33756,28660,34404,27698,6959,4524,4271,6226,3778,4700,3463,2959,2345,4017,3781,4554,2233,1466,1807,1522,3281,2675,1630,1863,1549,1657,811,666,1282,1108,1142,3355,2395,1115,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付职工薪酬(万元),1878,3605,2281,2240,2184,3589,1751,1633,1727,2124,1681,1560,1777,2833,1527,1185,1777,2120,743,716,1001,1527,602,583,585,718,640,716,396,549,447,391,300,447,122,130,385,285,79,
应交税费(万元),9499,17674,10049,8576,10136,17748,7049,7155,6319,11684,5978,6252,5353,8686,5613,5568,5817,7880,3818,3639,3774,4511,3574,3417,3637,4162,2601,2605,2392,2567,1567,1229,1429,1438,493,743,46,1374,1123,
应付利息(万元),324,92,225,64,208,66,45,61,70,57,42,33,16,16,280,91,25,22,17,16,11,11,11,11,15,15,6,6,3,7,5,3,2,2,1,1,1,0,1,
应付股利(万元),--,--,--,--,--,--,--,40,40,1309,40,40,40,--,--,490,0,--,1170,130,--,--,--,--,--,--,--,334,334,334,334,334,--,0,0,8,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
