报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),45720,49334,20600,20935,35690,48404,36767,40288,54950,46159,32794,32834,28512,33407,17786,17219,31718,58158,30269,43445,31879,56474,44000,27517,28742,19944,15762,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),16676,16371,12614,12114,10064,8525,9209,8336,13779,8298,5424,3751,5905,8238,5381,5256,6705,11337,7277,4586,4218,2797,4252,3446,2797,361,4544,
应收账款(万元),115286,123272,142708,140820,122863,119654,121263,150035,129906,135899,141929,127462,105772,113096,123033,119582,91667,83259,92218,61362,62060,44358,70335,52769,34164,32162,24042,
预付款项(万元),4106,3887,3995,964,2335,306,4761,1851,4103,409,3805,3353,3690,901,11937,7141,15633,2481,6957,13286,18548,1638,2896,1621,1854,310,259,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),4745,7452,5415,5500,4751,3720,6049,7339,6282,4851,5282,3979,3922,2915,4858,3874,3806,1438,2740,2325,2741,1383,2935,1786,1446,1217,3098,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),65519,45326,48652,44002,44120,33345,40563,49174,44328,37135,56934,64165,55314,40955,47502,49024,38646,36281,44818,31965,42708,30262,32896,27085,26670,21804,29476,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1608,308,934,484,837,640,499,674,7793,6499,3929,3435,787,798,1080,225,260,374,19,22,25,37,41,34,23,8,28,
流动资产合计(万元),253760,246051,234917,224820,220660,214593,219112,257697,261142,239249,250097,238978,203901,200310,211577,202322,188436,193327,184298,156991,162181,136950,157355,114258,95696,75806,77209,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1543,1543,1543,1657,1657,1657,1806,2000,1000,1000,1000,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,250,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1088,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,74719,--,71024,--,70342,--,75073,--,75247,--,66408,--,65375,--,62109,--,49470,--,30695,--,28632,--,--,18264,13796,11483,
累计折旧(万元),--,26981,--,25165,--,22835,--,22259,--,19811,--,17258,--,15080,--,13212,--,9693,--,8185,--,7112,--,--,5610,4377,3465,
固定资产净值(万元),--,47738,--,45859,--,47507,--,52813,--,55436,--,49150,--,50296,--,48897,--,39776,--,22510,--,21519,--,--,12654,9419,8018,
固定资产减值准备(万元),--,221,--,134,--,170,--,13,--,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),46403,47517,47563,45725,46546,47338,47129,52801,53915,55423,53316,49150,49686,50296,48600,48897,48046,39776,29238,22510,22713,21519,18353,18730,12654,9419,8018,
在建工程(万元),2884,2731,3256,6439,3950,3827,3929,4418,3179,2027,5279,8215,6657,5236,2545,2058,3114,2553,7345,7924,7445,6768,2638,2581,8322,6158,2455,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),9941,9998,10057,10115,10171,10229,10287,11548,11612,11672,11221,6412,6449,6488,5354,5383,5412,4008,4433,4053,4048,4089,793,798,807,826,1192,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,10994,10994,10994,10994,10994,10994,10994,10994,10994,10994,10994,11263,--,--,--,--,--,--,--,--,
长期待摊费用(万元),160,279,219,17,84,--,1,5,9,14,68,31,33,35,43,47,44,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),3002,2841,1931,1655,1735,1857,2139,2092,1825,1694,1087,1228,1390,1368,627,587,608,514,455,320,249,249,227,227,173,136,143,
其他非流动资产(万元),263,204,410,789,2293,1261,758,786,497,357,626,1987,1339,1459,4961,2564,1612,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),64195,65114,65229,66398,66437,66167,66048,84643,83029,83182,83589,79017,76548,75875,73123,70529,69830,57845,52734,34807,34455,32624,22011,22336,21956,16539,12896,
资产总计(万元),317956,311165,300146,291218,287097,280761,285160,342340,344171,322431,333686,317995,280449,276185,284700,272851,258266,251173,237031,191798,196636,169575,179366,136594,117652,92345,90105,
