报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),8465,8694,12887,19481,5928,16716,6631,6370,10305,39171,7617,5876,9393,45337,11776,16272,16934,29022,10091,8890,13136,16384,6525,7217,10484,28766,3647,7898,7687,18351,5070,21065,20091,23149,19191,24625,25840,36456,3591,9780,2263,11366,8277,10245,14879,21860,952,1703,2014,312,655,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,0,--,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,0,--,0,0,--,
交易性金融资产(万元),36574,38584,10788,4884,32311,31630,18039,2234,--,--,3000,--,6900,--,15600,16601,4600,--,--,--,--,3300,1118,1000,618,1000,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,600,--,--,0,--,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,0,--,0,0,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,40,4040,3000,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,0,--,0,0,--,
应收账款(万元),9886,9882,19816,22064,18633,16969,19375,21060,18342,16651,26470,50035,41427,32699,66949,58663,43494,32070,45085,38848,32465,23790,33457,31325,22527,13710,30523,28558,20022,14232,22224,22170,13416,8322,14009,16972,9831,6338,7468,8199,5644,5121,8262,9572,7457,6734,3458,3203,2026,795,678,
预付款项(万元),3253,85,1323,1052,3785,1068,1211,2294,3040,1041,5571,2643,5171,1190,5124,5189,3034,1076,1787,3083,5191,1218,1810,1285,2954,712,4428,6656,6677,5935,4386,7296,5044,5668,3469,2609,3668,1707,2797,1200,1852,784,2673,2901,1399,1454,791,709,424,404,376,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,0,--,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,--,0,--,0,0,--,
