报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),40971,15891,13270,6326,5088,2615,4113,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),349,123,190,--,--,157,--,
应收账款(万元),2203,1697,1732,1657,2256,2198,1124,
预付款项(万元),421,383,712,541,1043,77,253,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),40,41,1,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),92,61,60,32,44,65,606,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),10167,8703,6437,5179,3704,819,235,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),1581,1974,1712,1238,771,592,365,
流动资产合计(万元),55825,28873,24115,14973,12906,6523,6697,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),6,6,7,16,31,28,27,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),--,34896,34449,--,--,--,--,
累计折旧(万元),--,11729,10628,--,--,--,--,
固定资产净值(万元),--,23166,23821,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),22713,23166,23821,20573,20641,14304,16795,
在建工程(万元),4937,4937,5710,6251,6201,11039,7145,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),905,1044,1089,169,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),4291,4318,4225,4318,4445,4527,4439,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),100,113,128,30,55,79,--,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),514,463,396,357,351,1077,1072,
其他非流动资产(万元),356,151,215,1511,543,432,1830,
非流动资产合计(万元),33822,34198,35592,33225,32265,31487,31309,
资产总计(万元),89647,63071,59706,48199,45171,38010,38006,
短期借款(万元),--,--,--,--,1100,--,10,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,
应付账款(万元),1287,1569,1946,1029,1478,1875,1871,
预收账款(万元),28024,25379,20602,16013,12299,7864,5110,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),1043,1198,1475,1232,1009,876,570,
应交税费(万元),405,271,1155,765,1034,1232,882,
应付利息(万元),--,--,--,--,9,10,19,
应付股利(万元),--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),72,81,44,71,79,33,27,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,3800,6300,--,
其他流动负债(万元),--,--,--,--,--,142,114,
流动负债合计(万元),30832,28498,25222,19110,20808,18333,8601,
长期借款(万元),--,--,--,--,--,--,11800,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,87,--,--,
长期递延收益(万元),7198,7366,8466,8253,8368,7488,7677,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),7198,7366,8466,8253,8455,7488,19477,
负债合计(万元),38031,35864,33688,27364,29263,25821,28079,
实收资本(或股本)(万元),8180,6130,6130,6130,6130,6130,6130,
资本公积(万元),26104,5961,5961,5961,5961,5961,5961,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),1016,1016,1016,799,557,374,131,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),16319,14072,12853,7901,3225,-310,-2295,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),51581,27172,25983,20800,15872,12154,9927,
少数股东权益(万元),35,35,35,35,35,35,--,
所有者权益(或股东权益)合计(万元),51617,27207,26018,20835,15907,12189,9927,
负债和所有者权益(或股东权益)总计(万元),89647,63071,59706,48199,45171,38010,38006,		
  
