报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),29510,30992,20678,19560,16215,23860,13819,32962,59761,35904,32465,26434,35286,33622,27372,27166,13145,16787,26318,27816,31349,10820,33447,18579,14644,17040,30141,28051,40883,48994,34602,45860,41100,70600,60276,79958,58308,22577,8522,8268,17302,4715,6769,25633,19851,4251,6929,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,3167,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),79067,66961,60090,81031,61846,35173,35221,41118,35678,32749,39057,25320,37142,44013,41632,39735,31913,22370,35385,30610,25430,16145,23319,26780,21435,24734,25518,22045,15123,14859,11498,7385,13030,10088,10225,8322,8380,4274,4162,2632,13860,12902,13649,5981,3929,3816,3064,
应收账款(万元),23025,27488,13962,20851,21332,26016,19615,32732,34271,36487,24764,38175,32495,36895,21375,37796,30505,32828,17610,27126,28305,33081,17617,27561,28744,22906,16706,22012,22336,23853,13590,16711,14477,18014,15472,22455,16295,23688,16700,19889,18849,19190,13676,15784,17651,23152,17067,
预付款项(万元),7636,10389,10481,8889,6610,7374,8559,7089,7200,5997,4726,5291,9223,6809,6333,9325,7537,17036,14472,18239,16955,19094,23146,10793,13923,14692,8581,53875,45936,46228,49606,67832,55845,62868,59639,14580,16715,14456,14601,13557,11034,7477,7040,7846,7174,9451,7515,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
其他应收款(万元),1590,3760,3136,2935,4446,2022,5498,12421,9474,5245,7072,12556,8556,13366,12974,3246,3026,1532,1174,5600,6227,5522,4801,10194,10413,10470,9986,5417,3023,3440,2511,3914,3078,3728,2278,2315,1567,2707,1834,2053,1602,2212,2617,2106,3206,2723,2798,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
存货(万元),42631,39520,44569,37151,36833,40425,35947,33439,34352,36927,36459,39567,34708,35488,41990,40827,42419,44872,43238,35110,36765,37752,41187,52199,49743,49972,36126,35634,29521,22819,23183,23611,18403,13437,16049,18860,17694,21478,21920,26065,18214,14300,12757,13452,15806,15942,13988,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,50,202,--,0,
其他流动资产(万元),1503,833,1694,2199,3306,1318,2184,1452,1303,742,1478,791,1588,1748,3562,4824,8030,529,64,83,171,1386,289,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
流动资产合计(万元),184962,179942,155984,172616,150590,136186,120843,161213,182039,154051,146022,148134,158998,171942,155237,162919,136575,135953,138259,144584,145202,123799,143806,146106,138903,139814,127058,167034,156823,160193,134990,165314,145934,178734,163939,146490,118959,89179,67737,72464,80861,60795,56508,70853,67819,62503,51361,
