报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),5310,6141,17624,16797,30764,40489,14163,27349,28853,43833,85073,73191,74697,57910,31846,27239,11887,6314,32548,13754,16670,24479,79212,22318,18003,21883,15390,23333,16654,17040,31220,17694,20307,20223,19285,14862,9518,13128,11465,19735,24951,16732,20343,15296,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
应收票据(万元),1417,1600,1625,2014,1458,3503,2590,6842,3793,4235,5376,5647,6192,6198,9253,10038,7722,7026,7685,4274,6654,6724,7588,10462,5705,3876,7888,6136,2859,5997,833,2399,4686,3639,3352,3422,3094,3466,4250,1818,3161,6485,2706,1738,
应收账款(万元),9263,9427,10660,9940,17502,19863,27583,25024,22663,24832,20496,19673,21940,21696,20766,16504,26866,21581,23600,16563,22330,17462,11509,9683,16772,15172,23295,19757,17516,16925,16261,10539,5863,7724,8299,6554,9016,8608,8928,5849,7973,7930,6123,4763,
预付款项(万元),6078,6739,7208,5685,6170,4984,7706,4835,28618,29508,34763,27567,39840,38683,49612,36573,36322,16396,24920,20425,24283,27065,37406,33075,27058,32994,20775,24981,18017,18438,17396,13572,13855,16317,14252,9565,17615,18400,14196,11845,8866,8764,6081,7953,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,0,--,
其他应收款(万元),17326,14612,15132,14459,15369,14945,30453,25566,21005,18304,3746,3045,1887,1553,1506,1233,709,1117,1080,1210,1890,3063,2199,2128,2229,1716,2010,1398,1255,1411,1169,991,527,264,204,204,238,488,335,137,118,86,120,92,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
存货(万元),18076,17876,30380,21247,24407,39511,39275,41542,51623,48411,58527,49824,58623,59948,45258,48564,59772,60926,56813,60359,56503,46972,53994,48976,46279,42647,40880,38921,34128,35573,39653,29503,25931,27395,29557,32812,32338,18811,11331,13703,15257,11577,11008,11447,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,0,--,
其他流动资产(万元),3267,3442,3325,3576,3592,3778,3547,3064,2924,3090,2968,2069,1950,1656,1825,2657,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,0,--,
流动资产合计(万元),60738,59835,85954,73719,99262,127075,125316,134224,159478,172213,210949,181016,205130,187644,160066,142808,143277,113360,146647,116585,128329,125766,191907,126642,116044,118288,110238,114526,90427,95385,106533,74698,71169,75564,74950,67419,71820,62901,50505,53087,60326,51573,46381,41289,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
可供出售金融资产(万元),2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,2130,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,--,0,--,0,0,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,0,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,0,--,
长期股权投资(万元),1875,1875,1875,1875,1839,1839,1839,1839,1823,1823,1823,1823,3959,3949,3949,3949,2383,2445,2450,2450,2461,2461,2461,2461,2469,2319,2229,2139,1395,1395,1080,1080,540,540,584,540,540,540,540,180,180,180,180,180,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,
