报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),9085,17534,18264,20916,22376,23759,22333,21585,22874,22128,22080,20569,18884,18542,18953,19063,5352,5363,3902,4801,5031,2063,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),0,--,--,--,--,--,--,--,--,--,--,--,500,500,--,--,--,--,--,--,0,800,
衍生金融资产(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),210,329,146,336,515,154,328,433,210,212,338,344,379,260,345,180,427,236,136,286,17,26,
应收账款(万元),25753,19374,20130,19359,15695,14087,16033,15156,12302,9429,10029,12099,12474,9664,10592,11017,10639,9406,8552,7272,4985,2699,
预付款项(万元),275,218,122,144,145,108,209,321,265,240,159,620,600,637,544,348,308,211,1537,946,466,266,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),0,--,--,14,11,15,19,21,25,17,22,67,31,89,46,--,--,2,--,--,--,--,
应收股利(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),330,432,258,328,219,512,355,357,336,339,267,163,64,58,105,182,139,49,69,100,717,94,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),17133,16899,15014,16739,15112,11902,9287,10112,9484,7927,6756,7132,7747,8890,8236,8967,8608,8370,6236,6893,7583,4442,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),0,--,0,22,24,24,7,2,3,5,8,2,5,6,7,--,--,--,--,--,--,--,
其他流动资产(万元),9064,396,424,63,75,55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
流动资产合计(万元),61850,55183,54358,57920,54172,50616,48571,47988,45497,40298,39659,40997,40683,38645,38829,39758,25473,23638,20432,20298,18799,10391,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),200,200,200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),0,--,--,200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),9477,--,9346,--,9270,--,8752,--,8614,--,7990,--,7993,--,8040,--,7604,7549,7264,7140,6279,5436,
累计折旧(万元),4820,--,4558,--,4246,--,3979,--,3925,--,3653,--,3492,--,3211,--,2903,2599,2024,1525,1026,649,
固定资产净值(万元),4657,--,4788,--,5025,--,4772,--,4689,--,4337,--,4501,--,4829,--,4701,4950,5239,5615,5253,4787,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),4657,4674,4788,4902,5025,4705,4772,4703,4689,4803,4337,4418,4501,4839,4829,4570,4701,4950,5239,5615,5253,4787,
在建工程(万元),18845,13472,8890,3054,2844,2582,1502,494,422,311,487,379,310,3,3,3,3,3,6,6,0,0,
工程物资(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),1434,1452,1471,1483,1502,1522,1541,1560,1579,1599,1604,1625,1637,1649,1657,1675,1694,1744,1811,2082,1448,1662,
开发支出(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
