报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),39887,40866,41696,41780,26129,8627,17730,13287,15428,17861,16011,9109,8425,6656,25677,20564,18736,18481,13265,17356,16490,22060,20476,28521,31370,29205,30947,32073,37997,41161,40308,45303,65984,4972,4245,4629,1485,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收票据(万元),1142,134,395,1368,890,2657,799,1282,1116,2369,123,459,1250,1619,4205,10568,6347,7276,90,766,1529,1375,2016,2235,383,531,5801,4718,5153,7354,1909,7974,300,0,194,47,900,
应收账款(万元),5107,5804,5650,13027,14952,24617,22712,30969,35050,28637,43118,46821,40433,43009,39250,38957,31151,34397,32480,21982,23474,23170,24302,14118,26359,26633,18442,16049,13843,12603,21372,8206,14703,6478,8071,6700,2484,
预付款项(万元),2514,3132,3625,2985,3258,4160,2845,3763,12503,3927,5530,1856,1991,1987,1154,1325,2878,2378,459,1466,5950,4234,4545,4580,9550,4190,3885,2918,5005,424,2942,1128,1554,802,631,467,1477,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,
应收利息(万元),--,--,--,--,--,--,22,--,--,--,--,--,--,--,--,--,--,45,27,0,6,9,76,59,6,83,9,172,22,315,168,161,--,0,0,--,--,
应收股利(万元),--,--,--,--,--,--,7,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,
其他应收款(万元),708,764,542,484,1386,393,1833,597,1200,2372,1068,933,871,1036,1150,379,697,562,350,223,442,382,298,136,408,384,229,233,413,385,253,213,213,198,181,237,533,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,--,--,0,0,--,--,
存货(万元),9637,10048,10447,4486,10072,11356,10061,6529,12395,17294,16058,10495,9021,9322,9225,6553,10332,7465,9338,9055,8831,9688,8763,9827,6032,10686,11572,10781,8115,9818,8790,7453,3987,4103,3305,5599,12413,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,410,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,
其他流动资产(万元),1602,1485,2903,5220,5334,1477,821,7129,2008,6718,1338,4520,5917,6706,4547,5256,5041,2047,10714,16854,11300,6400,6000,4350,0,--,--,1600,--,--,--,--,--,0,0,--,--,
流动资产合计(万元),60596,62233,65259,69351,62021,53286,56830,63555,79699,79177,83248,74191,68319,70335,85209,83601,75184,72652,66722,67701,68022,67318,66475,63826,74109,71713,70885,68544,70549,72059,75742,70438,86742,16552,16627,17679,19293,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,--,--,--,--,0,0,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,
