报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30,
货币资金(万元),7110264,7599434,7673211,7471631,7689822,7864265,9203879,10108299,11366732,12610449,15239405,16207829,13513406,20269058,28366141,13371688,8986494,6614313,3703711,3117627,2639472,3112178,3461235,3119971,3308822,3333164,4045517,4290918,4154558,4714616,5461977,6280986,5946453,6655593,7678477,7708476,7074383,2649821,3970196,2319339,4878350,2633368,
结算备付金(万元),1906837,1738262,1764582,1376049,1657890,1684308,1341138,1867022,2736045,2190291,1339853,1152420,3606878,3178380,4131181,1424824,1821725,1035000,726176,837760,837159,677366,735571,634536,622004,682626,589614,1101650,964611,499195,454698,587626,2512836,517855,790263,2641207,1441384,402024,423903,1503911,1842929,1646334,
拆出资金(万元),--,--,--,65903,--,--,--,--,--,26595,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,--,0,
交易性金融资产(万元),12224433,11550756,12493836,13309448,8455042,8595290,8936126,8502285,8310723,8588613,9320279,10203971,13123811,11033754,8489719,5592122,5599996,3463423,2261578,1997559,2029050,2064449,1692154,1300467,1333389,1222287,1775115,1962739,1941140,1701387,1782930,1623556,1391609,1479221,837311,647326,615989,240788,301221,247195,307515,0,
衍生金融资产(万元),193396,195546,179540,100360,39171,26517,18638,48160,10659,88603,93465,58684,33475,88846,31781,3624,2081,--,575,158,--,2,23,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,--,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,0,
应收账款(万元),309017,295699,273896,337455,198034,137062,96249,93670,99141,118438,199626,169307,62155,61350,167782,41731,36265,39856,31408,17316,9886,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,--,32717,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,--,0,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,
