报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),86288,72141,91168,86856,98578,90859,65566,63324,73222,85080,70358,64123,57256,56017,57248,67890,37775,40203,27200,37872,41088,43530,58796,84025,78070,70753,90698,124453,77764,62600,67479,94263,139079,17196,18441,18985,13928,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46,--,--,--,--,--,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收票据(万元),7749,3906,1957,4161,1069,945,615,1356,518,900,530,1100,1372,1264,1270,3586,2829,767,664,2568,1401,1159,3880,9673,6859,6259,4839,649,1878,9888,19456,104,347,572,74,120,171,
应收账款(万元),160826,152825,134586,116322,104433,81322,78595,91964,100361,89110,98105,108326,120136,127864,108455,101381,118001,113733,90007,88415,93521,88468,61641,60401,77325,79707,78297,109825,127894,149546,117972,100602,51254,46067,33684,22857,18852,
预付款项(万元),7644,9845,10363,8775,6837,7119,8535,6684,9686,9833,11744,17186,21816,21814,28005,22237,29803,26238,27996,21811,41960,38018,30580,24566,33144,31223,23568,20112,9314,8937,10387,13882,11632,7415,7662,4704,3108,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11,60,14,66,17,--,--,--,--,--,--,--,0,0,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
其他应收款(万元),42891,58170,23637,31036,8144,7713,27055,25650,45238,37640,5753,3817,4805,4094,5684,3057,8383,6185,7163,4471,9023,8253,9794,5768,6308,5997,5161,3674,12395,9062,8907,7066,7986,3820,2320,2353,3340,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
