报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),25618,33260,37603,46163,14710,22230,27127,51418,36847,59882,62917,72901,23453,31201,31540,24066,18274,23139,42995,14620,--,12188,12259,7402,4883,1587,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),4600,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),16,10,37,244,35,35,50,21,77,26,25,37,--,--,--,26,15,15,162,172,--,--,--,--,--,--,
应收账款(万元),14375,12989,10717,7772,13770,12307,11053,7160,9491,7987,7501,6306,10469,8573,7203,6868,8575,8188,8726,8136,--,4819,5230,4841,3566,2108,
预付款项(万元),5679,3999,12577,6033,4830,1502,1428,1498,2692,3047,2789,2148,3793,3127,1747,1491,1781,1825,1200,1603,--,1435,1206,746,1310,268,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),2017,8168,2408,2321,5829,4532,4088,2476,5734,4914,4545,1678,5108,4328,3121,2111,2340,2151,2235,1566,--,1317,852,1159,763,530,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),5242,4519,5153,4322,5350,4543,4711,4372,5348,5295,5038,4883,6195,5429,4763,5370,5278,5170,5590,4521,--,4834,4077,3789,3199,2669,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1675,360,5858,6655,30505,27568,25251,2433,29818,5553,5549,3263,39962,30076,23074,18576,--,20000,--,--,--,--,--,--,30,--,
流动资产合计(万元),59222,63304,74353,73509,75030,72717,73709,69378,90007,86704,88364,91215,88980,82735,71447,58507,36263,60487,60909,30618,29654,24593,23624,17937,13753,7162,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,17371,16371,16371,16371,16371,16371,16371,2571,2571,2571,2571,2571,2571,2571,2571,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24500,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),17544,21930,--,--,--,--,--,--,--,--,--,--,--,--,29800,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,52957,--,52675,--,50737,--,50313,--,49967,--,49692,--,48674,--,30469,--,29990,--,29724,--,29603,29339,--,--,--,
累计折旧(万元),--,31092,--,30190,--,29264,--,28305,--,27322,--,26266,--,24989,--,16989,--,16348,--,15659,--,14922,14111,--,--,--,
固定资产净值(万元),--,21865,--,22485,--,21473,--,22007,--,22645,--,23426,--,23685,--,13479,--,13641,--,14065,--,14682,15228,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),21660,21865,21546,22485,21428,21473,22109,22007,22382,22645,23011,23426,23192,23685,13227,13479,13354,13641,13800,14065,--,14682,15228,16540,15700,17016,
在建工程(万元),4797,4259,4082,4017,3862,3609,3381,3348,2514,2485,2467,2366,1437,1212,862,816,236,226,201,197,--,170,135,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),6469,6497,6525,6563,6904,6938,6857,7006,7307,7341,7370,7493,3958,3987,2868,2890,2911,2933,2955,2976,--,3001,3067,3183,2386,2523,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),12986,12986,12986,12986,13187,13187,13187,13187,13187,13187,13187,13187,16641,16159,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),3018,3382,4010,3649,1988,1704,2010,1837,1786,1165,1249,1308,1243,1220,364,387,315,296,305,308,--,362,399,506,241,41,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),301,301,288,301,392,392,399,398,323,323,323,328,409,238,238,238,195,191,184,183,--,117,146,134,74,48,
其他非流动资产(万元),2966,1983,2100,2644,3372,3386,2873,2897,2625,2071,2193,2071,--,170,--,216,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),87111,90574,67909,69017,67506,67060,67188,67051,52697,51789,52372,52750,49450,49243,49931,20598,41511,17288,17445,17728,18003,18333,18976,20363,18401,19629,
资产总计(万元),146333,153878,142262,142526,142536,139777,140896,136429,142704,138493,140736,143965,138430,131978,121379,79104,77774,77775,78354,48346,47657,42926,42600,38299,32153,26791,
短期借款(万元),6830,8330,8330,7000,5500,6800,8000,4000,8000,10000,12000,12000,9460,7009,6829,6829,6434,6904,6904,6904,--,6904,6904,7628,8651,4153,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,1691,1499,2520,2328,1475,993,1665,1274,1444,1124,2651,1067,667,991,1938,900,1657,1336,2908,--,1074,1354,2573,450,--,
应付账款(万元),--,11367,7890,7317,7822,7075,7631,7143,6989,4580,4726,6567,6852,5353,3358,3429,3164,3066,3764,3881,--,4008,5288,4452,3803,3916,
预收账款(万元),5412,6214,4202,5700,4776,4453,4316,4142,3461,3514,3797,4590,4778,4591,302,424,553,1152,1424,482,--,1169,790,814,1655,604,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),256,222,399,514,204,158,366,466,431,342,304,533,224,381,375,395,644,531,622,626,--,547,596,495,518,392,
