报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),17328,12252,11908,10220,4614,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),80,--,211,15,48,
应收账款(万元),21987,20926,16716,13163,10217,
预付款项(万元),547,385,156,102,161,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,1,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),1102,2046,2426,704,798,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),11653,10782,8055,6366,5225,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),1323,501,4834,1369,1322,
流动资产合计(万元),54020,46893,44307,31940,22385,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),83,85,88,94,100,
固定资产原值(万元),54912,53321,46746,40073,32490,
累计折旧(万元),18650,17669,16391,13641,11330,
固定资产净值(万元),36262,35653,30355,26432,21159,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),36262,35653,30355,26432,21159,
在建工程(万元),1728,2111,2835,2459,3072,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),29,26,28,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),1964,1992,1702,1767,1627,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),1355,1346,503,631,268,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),709,685,547,733,583,
其他非流动资产(万元),834,392,754,441,971,
非流动资产合计(万元),42964,42290,36812,32555,27779,
资产总计(万元),96984,89183,81119,64496,50164,
短期借款(万元),7525,3770,4642,6174,285,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),5595,3490,2409,2821,2181,
应付账款(万元),24084,26183,20640,16844,14838,
预收账款(万元),72,49,59,42,47,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),2535,2018,2557,2249,2023,
应交税费(万元),1510,1113,773,638,864,
应付利息(万元),9,5,41,--,--,
应付股利(万元),--,--,--,--,24,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),1260,1221,1444,945,996,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),42589,37849,32564,29713,21257,
长期借款(万元),--,--,--,--,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),3892,3978,4171,4557,3566,
递延所得税负债(万元),142,140,119,50,18,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),4034,4119,4291,4607,3584,
负债合计(万元),46623,41968,36855,34320,24841,
实收资本(或股本)(万元),9240,9240,9240,7313,3320,
资本公积(万元),26069,26069,26069,947,1068,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),1030,1030,1030,3128,2436,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),14148,10751,7605,18551,18416,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),50361,47215,44264,30175,25323,
少数股东权益(万元),--,--,--,--,--,
所有者权益(或股东权益)合计(万元),50361,47215,44264,30175,25323,
负债和所有者权益(或股东权益)总计(万元),96984,89183,81119,64496,50164,		
  
