报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),31031,32556,33039,32515,32016,35263,32734,39471,16333,19304,17359,17095,26713,35948,35581,36568,36338,36516,39423,38422,40133,40604,38090,1169,1117,4182,3019,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),22616,19744,15234,13445,20370,18616,13037,12562,13748,12214,10900,11282,13278,13523,10706,6579,13084,13659,7727,7087,6019,8119,5700,4562,8858,1627,54,
应收账款(万元),33776,33184,30508,29771,27392,22923,23144,21573,22509,19517,18485,19576,15204,12603,13290,13696,11923,9897,10413,12813,12458,9521,10703,10160,6675,6756,5970,
预付款项(万元),497,1000,989,1853,490,278,516,282,74,92,183,382,68,38,23,56,93,71,37,54,38,208,558,1252,302,2117,93,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),866,716,721,564,429,275,189,940,777,667,653,544,402,425,61,2678,2323,1979,1629,1291,936,589,220,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),217,201,279,212,195,160,157,94,105,87,105,56,59,4,17,12,10,5,5,5,5,--,0,7,--,2,4815,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),18679,16532,13781,12980,12541,10522,9832,8877,8242,8583,7650,7262,7800,5511,4835,4989,4260,4988,5753,5478,5134,5095,5021,3515,3347,3138,1473,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),4373,3769,2612,2214,1995,1998,57,9,--,19,14,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),112056,107703,97161,93554,95428,90036,79666,83810,61788,60483,55348,56200,63524,68052,64513,64579,68032,67114,64987,65151,64724,64136,60291,20664,20299,17822,15424,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),364,431,461,405,489,532,490,554,461,557,277,493,315,258,231,188,216,226,193,189,219,160,130,164,137,239,222,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),3350,3350,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),1815,1847,1879,1911,1944,1976,2010,2044,2078,2112,2146,2180,2214,2248,2282,2316,2350,2384,2417,2451,2484,2518,2547,2582,2653,2753,2879,
固定资产原值(万元),--,32228,--,30034,--,29093,--,26706,--,25408,--,22555,--,20995,--,17369,--,16184,--,14548,--,12915,--,--,10540,9613,--,
累计折旧(万元),--,14155,--,12915,--,11738,--,10650,--,9631,--,8683,--,7697,--,6848,--,6077,--,5364,--,4731,--,--,3624,2630,--,
固定资产净值(万元),--,18074,--,17119,--,17355,--,16055,--,15777,--,13873,--,13298,--,10520,--,10107,--,9185,--,8184,--,--,6916,6983,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),18124,18074,17157,17119,17064,17355,15844,16055,16261,15777,13859,13873,13772,13298,12399,10520,10292,10107,9980,9185,8940,8184,7934,7860,6916,6983,5735,
在建工程(万元),10847,11202,8219,5391,3782,3563,2761,2291,2307,2576,1810,1554,1511,518,318,1998,1871,1691,1196,1579,1560,1527,633,624,1281,--,165,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),8796,8876,9022,8966,8954,9074,7511,7603,7704,7805,7761,7859,6867,5781,5798,5818,3593,3617,3641,3661,3661,3660,3683,3703,3749,1495,393,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),24325,24325,24325,24325,24325,24325,24356,14997,14997,14997,14997,14997,14997,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),35,37,4,6,9,12,15,14,16,19,21,24,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),597,620,545,471,448,421,349,327,328,302,299,306,270,241,246,250,237,222,231,247,240,223,88,80,57,62,51,
其他非流动资产(万元),1415,377,1419,2142,90,15,1609,1606,1003,464,1463,1027,--,166,497,163,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),69668,69139,63031,60736,57104,57272,54943,45490,45156,44609,42632,42312,39972,22510,21771,21252,18559,18246,17659,17312,17105,16273,15016,15014,14793,11532,9444,
资产总计(万元),181724,176842,160192,154290,152532,147308,134609,129300,106943,105092,97980,98511,103496,90561,86284,85831,86591,85361,82646,82463,81829,80409,75307,35678,35092,29354,24868,
短期借款(万元),12980,10446,3400,2900,2900,2900,119,100,259,552,687,1981,698,404,700,1525,710,379,338,--,--,--,--,--,3930,3796,3240,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),4709,5733,6793,6743,5509,4935,4536,3658,2846,3461,4511,4215,3874,3450,3124,3736,4071,3741,3303,4844,4956,4090,3342,1760,1932,1258,5613,
应付账款(万元),13303,14819,10579,11967,10839,10466,8430,8520,7000,7560,4006,5047,4455,5511,3710,4099,2850,4041,4177,4724,3066,5381,3779,4877,4298,5494,4616,
预收账款(万元),1454,612,81,2213,519,794,1567,938,1386,1450,705,946,2650,--,--,3,--,--,--,3,--,24,25,--,0,16,20,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1442,1634,1120,1022,946,1442,906,753,591,889,619,641,385,402,395,349,318,370,419,396,345,365,314,284,262,223,216,
应交税费(万元),834,735,686,1190,936,1134,1139,1169,1209,794,566,1267,1067,712,558,693,754,858,649,1051,930,693,264,770,696,2050,689,
应付利息(万元),24,20,3,13,5,1,0,--,1,2,1,6,3,2,2,9,3,4,2,--,--,--,--,--,7,5,5,
应付股利(万元),--,--,--,--,--,--,--,17,0,--,0,--,6395,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),4032,4077,4120,68,38,37,15,1,7,5,20,113,--,9,5,22,4,6,--,--,3,2,5,5,2,--,--,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),95,95,84,84,84,84,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),445,440,420,362,448,227,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),39318,38610,27286,26561,22224,22020,16713,15156,13298,14713,11116,14216,19527,10491,8495,10436,8712,9399,8888,11018,9299,10555,7729,7696,11127,12842,14398,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),1347,1371,1406,1328,1349,1370,1111,867,873,879,885,891,897,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),171,176,197,182,207,212,220,225,230,236,198,236,214,40,36,29,33,35,30,29,34,25,21,26,22,35,31,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,904,910,916,922,928,934,940,946,956,961,966,977,--,--,
非流动负债合计(万元),1518,1547,1603,1511,1556,1582,1331,1092,1104,1115,1083,1127,1112,943,945,945,955,963,964,970,980,981,982,992,998,35,31,
负债合计(万元),40836,40157,28889,28072,23780,23602,18044,16248,14402,15828,12199,15343,20638,11434,9440,11381,9667,10362,9852,11988,10279,11536,8710,8688,12126,12877,14430,
实收资本(或股本)(万元),43198,43198,43198,42709,32853,32853,32853,32853,20000,20000,20000,20000,20000,20000,10000,10000,10000,10000,10000,10000,10000,10000,10000,7500,7500,7500,4080,
资本公积(万元),41983,41911,41632,37792,47648,47648,47739,47739,34047,34047,34047,34047,33770,33497,43497,43662,43686,43694,43666,43663,43688,43639,43613,8288,8266,8343,178,
减:库存股(万元),4059,4059,4059,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),6872,6872,6543,6240,5579,5579,5210,4933,4357,4357,4124,3957,3441,3441,2530,2530,2530,2530,1523,1523,1523,1523,720,720,720,63,618,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),51133,46936,42156,37723,40828,35743,30351,27050,30242,27009,24459,22314,24425,21965,20614,18258,20708,18774,17605,15289,16338,13711,12264,10482,6480,571,5562,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),139432,135230,129857,124813,127323,122281,116565,113051,89030,85893,82871,80744,81636,79127,76844,74450,76924,74999,72795,70475,71549,68873,66597,26991,22966,16477,10439,
少数股东权益(万元),1456,1455,1446,1405,1429,1424,--,--,3511,3371,2910,2424,1222,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),140888,136685,131304,126218,128752,123705,116565,113051,92541,89264,85781,83168,82858,79127,76844,74450,76924,74999,72795,70475,71549,68873,66597,26991,22966,16477,10439,
负债和所有者权益(或股东权益)总计(万元),181724,176842,160192,154290,152532,147308,134609,129300,106943,105092,97980,98511,103496,90561,86284,85831,86591,85361,82646,82463,81829,80409,75307,35678,35092,29354,24868,		
  
