报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),20180,22441,38144,21740,18632,18417,18266,24222,9889,8735,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,25,25,5,569,38,--,118,--,
应收账款(万元),23835,24104,23070,26559,19437,25878,21462,20479,17024,7925,
预付款项(万元),3025,2207,1989,1093,1462,914,1279,753,807,1313,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),512,466,419,373,326,188,49,--,--,133,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),2923,1374,955,1599,1309,1606,825,1124,541,386,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
存货(万元),25012,20127,18172,17026,17833,13748,14448,15099,14385,17826,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),35515,30114,11058,10695,13242,10782,2274,4010,341,5288,
流动资产合计(万元),111002,100833,93831,79110,72244,72102,58641,65687,43104,41606,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),90,90,90,90,90,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,8015,--,--,7410,6683,--,5341,4227,--,
累计折旧(万元),--,3894,--,--,3226,2613,--,1931,1418,--,
固定资产净值(万元),--,4122,--,--,4184,4070,--,3409,2809,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,
固定资产(万元),4208,4122,4181,4122,4184,4070,3417,3409,2809,2295,
在建工程(万元),446,408,267,263,120,90,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,
无形资产(万元),6830,6758,6811,7143,7358,7760,8044,8158,8681,5533,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,
商誉(万元),8129,8456,8754,8844,8226,7787,6922,6894,6841,11230,
长期待摊费用(万元),298,360,354,369,344,433,506,543,397,642,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1286,1272,1272,1079,1078,1167,1359,811,482,555,
其他非流动资产(万元),532,471,579,438,394,164,485,328,260,279,
非流动资产合计(万元),21818,21936,22307,22347,21794,21471,20733,20143,19471,20535,
资产总计(万元),132820,122770,116139,101457,94038,93573,79375,85830,62575,62141,
短期借款(万元),2317,1095,--,395,6293,7138,8479,11764,2593,8586,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,
