报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),218099,189655,187963,378808,143191,227164,185357,200229,131615,120429,105020,212011,122652,113672,115138,261440,178673,144525,77259,156008,110079,109193,152609,176344,142536,157561,182328,214966,207710,183142,190439,209304,202576,191805,35462,34289,31978,18905,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
交易性金融资产(万元),283,62,106,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收票据(万元),4511,5271,5457,5904,3366,5550,6567,5357,3717,4590,5128,5160,3572,3322,4689,6109,5282,3318,3178,3667,1950,691,659,1057,495,165,623,1599,1873,1295,872,314,202,30,--,49,26,81,
应收账款(万元),230473,209615,181514,133296,199267,165238,147046,109110,172262,142900,115888,84554,148588,118087,103747,61450,110017,88904,87786,35200,93829,61569,41929,14485,36473,22955,13491,8494,12165,9629,8124,5620,10789,10344,8171,4445,3082,3237,
预付款项(万元),28002,35958,37837,31005,26865,30436,27916,23113,24905,20945,22657,12868,20186,37637,39184,26819,28647,36556,26130,28858,28131,32914,17131,18179,26905,38587,31411,11693,17288,16038,14718,8616,13259,13451,11432,9414,7411,6008,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收利息(万元),--,17,6,--,243,--,--,7,15,15,9,--,50,13,--,--,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,504,--,--,--,--,--,--,--,--,--,--,151,135,--,0,--,0,0,--,
其他应收款(万元),29627,29888,28676,30230,50867,26479,17434,15575,15015,13862,12364,9698,10271,9879,9275,6379,9970,9951,9824,7695,5525,5373,4946,3885,5738,5003,3534,2467,4328,3839,4097,3445,4899,4688,5042,4180,4438,7543,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
存货(万元),209943,238280,280236,272181,204492,208341,193495,204576,157276,177306,151847,166316,152864,167929,182407,191747,173678,190907,186639,194210,148813,145191,132963,118302,104251,94330,90687,96147,75842,86831,79392,81783,59595,66701,67628,69919,55050,54826,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,2,--,0,--,0,3,--,
其他流动资产(万元),120305,84464,111403,59896,176251,69495,182662,208223,230339,225252,266972,252946,174500,54196,65562,18638,5719,5593,5325,4690,3922,3274,3084,2432,1671,643,428,355,21,21,21,21,20,11,10,10,407,788,
流动资产合计(万元),841243,793211,833198,911320,804542,732703,760478,766189,735145,705299,679886,743552,632683,504734,520000,572582,511991,479755,396140,430833,392249,358206,353322,334684,318069,319243,322501,335720,319228,300796,297814,309241,291340,287030,127745,122305,102396,91387,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
可供出售金融资产(万元),94497,94758,76201,66201,59522,44524,21492,20492,20492,21492,20374,12174,5616,3627,3627,2627,2127,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
长期股权投资(万元),231160,229577,165865,135511,118604,105216,99159,75927,62641,55015,13427,11207,9793,7229,5235,4644,4355,5582,19656,19789,20047,19659,4777,4822,4523,4495,4073,3907,4340,3142,2838,2862,3124,3072,3148,3145,2560,2036,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,35,
固定资产原值(万元),--,653741,--,640162,--,536260,--,511086,--,491781,--,463915,--,411015,--,369489,--,325870,--,248034,--,192604,--,169276,--,123600,--,112745,--,85447,--,74332,--,60694,--,57064,46196,--,
累计折旧(万元),--,196996,--,179086,--,161113,--,145960,--,132151,--,118248,--,96298,--,79113,--,66880,--,49100,--,41811,--,35293,--,30297,--,25797,--,22330,--,19466,--,17730,--,15558,12012,--,
固定资产净值(万元),--,456745,--,461076,--,375147,--,365126,--,359630,--,345667,--,314717,--,290376,--,258990,--,198934,--,150793,--,133983,--,93303,--,86948,--,63117,--,54866,--,42964,--,41507,34184,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,1,22,--,
固定资产(万元),459046,456745,456732,461076,385960,375147,361501,365126,361657,359630,346433,345667,335076,314717,294417,290376,275442,258990,201372,198934,163543,150793,137430,133983,105036,93303,92680,86948,65926,63117,55467,54866,46289,42962,41424,41505,34162,30261,
在建工程(万元),37596,41042,93901,66143,49519,54611,56238,49716,37362,33512,36061,28740,30874,32033,29171,27600,30929,36549,50219,41939,46751,36108,31954,26053,33203,21707,12365,9057,20378,17604,16294,11990,14633,13053,7872,6316,3235,2103,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26,--,0,--,0,0,--,
固定资产清理(万元),--,--,--,--,--,2,--,--,9,14,61,13,77,79,0,--,110,115,110,110,--,--,--,--,--,--,--,--,--,--,--,--,1,13,--,0,0,--,
生产性生物资产(万元),10833,11662,15165,13760,7847,7955,8511,8223,8061,8660,7996,10345,11567,12541,4458,4371,3914,3221,2210,1880,2110,1091,648,585,598,513,140,152,168,185,217,191,158,163,144,162,202,55,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
无形资产(万元),166796,167022,167966,168148,156529,152597,148287,146797,147139,143676,144353,146006,80337,74998,71730,71014,66913,65573,47203,46466,40666,37859,36950,35180,29969,22120,21047,20622,17970,17950,17731,17330,15933,14395,14297,14417,13956,12715,
开发支出(万元),36229,33625,31609,29599,31219,28762,29138,31015,28670,26199,24020,22994,27637,25417,23928,22156,21618,20073,19312,17252,15963,13836,11932,9792,9457,7635,5952,4807,3810,2645,1383,1305,948,953,909,819,608,454,
商誉(万元),30233,30233,30274,30274,23124,23124,21823,21823,21823,21823,21272,21272,21272,4237,1745,1300,1386,1300,1300,1300,1300,831,831,831,831,--,--,--,--,--,--,--,--,0,--,0,0,--,
长期待摊费用(万元),11175,12124,14635,12480,12018,10734,10377,10221,10363,10328,8359,8863,8924,10143,8512,7621,7658,7998,8610,6638,7301,5624,4610,4331,2701,1962,1476,1391,1212,1101,1134,1169,1179,1102,1124,1024,996,598,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
递延所得税资产(万元),10301,9944,10315,9197,8732,8618,8033,8431,7344,6159,6145,6263,5632,5847,6036,5352,2320,2167,2693,2471,1390,1603,1593,1802,1419,933,985,1295,512,462,464,525,227,266,137,149,160,44,
其他非流动资产(万元),21939,19406,23903,22074,31000,28740,28229,21861,38981,40192,40405,27836,57478,52876,49496,45416,49189,50109,61488,53035,42179,25163,22662,18738,21981,19589,15277,9772,5806,3923,4936,4973,--,0,--,0,0,--,
非流动资产合计(万元),1109806,1106137,1086565,1014463,884073,840031,792787,759630,744542,726700,668907,641379,594284,543742,498355,482477,465960,451677,414172,389813,341249,292568,253387,236118,209717,172257,153996,137951,120121,110129,100463,95237,82493,75980,69055,67536,55878,48300,
资产总计(万元),1951049,1899348,1919763,1925782,1688616,1572734,1553265,1525818,1479687,1431999,1348793,1384931,1226966,1048476,1018355,1055059,977951,931432,810313,820646,733498,650774,606709,570802,527786,491500,476497,473670,439349,410925,398277,404478,373833,363010,196800,189842,158274,139687,
短期借款(万元),232512,181574,154218,180250,159683,171526,121000,65073,70791,73941,49004,54104,79848,91593,79110,87899,132968,124249,87286,74868,60558,46384,22403,1820,5302,12025,2025,1425,1500,2500,2500,2700,3865,3365,43065,36561,42085,36650,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
