报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),180312,133762,97128,35987,59999,45119,120721,31330,25626,32386,32123,37399,48537,58517,61068,58481,69209,66655,63045,52903,50609,62476,54974,62355,39896,52273,44921,61896,27805,28656,25445,23012,22354,21840,20277,19440,17339,16160,14841,15713,2390,4822,3116,568,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
应收票据(万元),12462,15115,12256,11050,10128,6616,6086,6470,5390,4746,4075,3528,7665,7948,7596,8614,5873,6076,4997,3353,3829,5410,4872,2119,2320,3853,3119,2908,894,1314,1484,1160,993,533,906,352,415,191,275,255,182,364,203,90,
应收账款(万元),108033,42146,48991,48540,43269,43954,45616,44462,39280,38042,38954,39544,34710,36922,38747,40038,37907,33242,36921,24407,21289,19856,21980,23028,19561,19435,22004,22990,5693,5807,4712,5183,4024,4694,4736,4705,4368,4856,3843,2770,2355,1519,809,974,
预付款项(万元),26512,6630,6209,5695,5472,4869,4493,3911,3186,2777,3900,4019,3272,3330,3830,10420,11660,9268,23346,8038,6209,5784,7831,5445,7466,5342,6772,7681,625,498,626,362,973,994,982,1721,2042,1401,1254,2395,1761,1180,1236,235,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
