报告日期,2017-09-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),15729,15953,11675,2666,969,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),167,--,--,--,--,
应收账款(万元),26679,10372,3958,2173,4146,
预付款项(万元),203,444,1639,795,3,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,35,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),686,277,94,744,1168,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),24239,4977,5510,6649,1127,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),5250,--,409,15129,5,
流动资产合计(万元),72952,32058,23284,28155,7418,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),10812,10180,5855,4854,--,
累计折旧(万元),2834,1881,1226,743,--,
固定资产净值(万元),7978,8299,4629,4111,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),7978,8299,4629,4111,1991,
在建工程(万元),1822,310,1506,562,871,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),2335,2344,2332,526,527,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),744,480,198,42,39,
其他非流动资产(万元),2169,2942,477,810,98,
非流动资产合计(万元),15047,14375,9142,6051,3526,
资产总计(万元),87999,46433,32427,34206,10943,
短期借款(万元),15140,5943,--,921,1465,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),5984,3378,1329,3197,2099,
应付账款(万元),18276,2961,1776,4055,1792,
预收账款(万元),7371,168,87,3447,43,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),1467,720,3398,2160,465,
应交税费(万元),839,887,269,1561,536,
应付利息(万元),21,13,--,--,--,
应付股利(万元),--,--,--,2700,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),213,226,321,624,174,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),49309,14294,7180,18664,6576,
长期借款(万元),1179,--,--,--,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),49,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),1227,0,0,0,0,
负债合计(万元),50537,14294,7180,18664,6576,
实收资本(或股本)(万元),12000,12000,12000,1398,1300,
资本公积(万元),5622,5622,3545,489,--,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),2774,1891,1329,1638,309,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),17067,12616,8373,12017,2759,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),37463,32139,25247,15542,4368,
少数股东权益(万元),--,--,--,--,--,
所有者权益(或股东权益)合计(万元),37463,32139,25247,15542,4368,
负债和所有者权益(或股东权益)总计(万元),87999,46433,32427,34206,10943,		
  
