报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),53419,48283,36692,25832,108790,101222,100021,53665,53462,48731,34557,37161,20133,21999,22753,67363,112387,114081,129914,170442,129381,124349,124578,128914,50201,48957,47048,51766,52203,41541,41642,48643,35268,31731,15446,19407,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,515,34,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收账款(万元),--,--,--,--,--,--,1960,835,708,--,--,--,10,--,--,--,16,--,70,5,27,3,69,4,19,2,37,13,20,23,259,183,272,909,1984,1759,
预付款项(万元),--,--,11,5,--,--,254,12,--,--,14,14,14,14,--,--,--,--,17097,8398,1485,--,34189,20630,14407,7368,2890,3647,3559,1956,31,225,296,396,518,5,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),--,104,--,--,8,202,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),6304,3970,10512,3021,7597,7731,6317,6603,3663,561,11921,6053,2269,2423,4602,1749,2474,871,2615,2743,2729,2259,1016,946,1198,844,1659,1593,666,748,22155,1419,1124,645,7775,11775,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),114,79,62,35,28,56,118,80,37,35,120,81,38,20,62,72,25,44,41,64,1,1,1,1,1,1,0,0,--,--,77,77,77,77,77,197,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,5,0,0,0,
流动资产合计(万元),59837,52436,47276,28893,116423,109212,108668,61194,57870,49327,46612,43310,22463,24549,27417,69183,114903,114997,149737,181650,133622,126612,159853,150495,65826,57173,51635,57020,56448,44268,64164,50552,37042,33758,26316,33176,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,100,100,100,100,100,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
投资性房地产(万元),112,113,114,115,118,119,124,259,261,259,265,266,267,268,269,271,274,276,278,280,282,285,287,289,291,294,296,298,300,302,--,--,--,0,0,0,
固定资产原值(万元),--,707304,--,726284,--,724213,--,691753,--,690621,--,418294,--,293018,--,295158,--,295119,--,286620,--,286328,--,286064,--,286764,--,277533,--,277032,--,262511,--,0,0,0,
累计折旧(万元),--,136146,--,138670,--,130362,--,120814,--,113563,--,111777,--,107253,--,105196,--,100794,--,96981,--,91344,--,86296,--,82753,--,79101,--,74386,--,69013,--,0,0,0,
固定资产净值(万元),--,571158,--,587615,--,593851,--,570939,--,577057,--,306517,--,185765,--,189962,--,194325,--,189639,--,194984,--,199768,--,204011,--,198432,--,202646,--,193498,--,0,0,0,
固定资产减值准备(万元),--,19,--,121,--,121,--,121,--,121,--,121,--,121,--,121,--,121,--,121,--,121,--,121,--,207,--,207,--,207,--,207,--,0,0,0,
固定资产(万元),567922,571139,576447,587493,591970,593730,567411,570817,574796,576936,303608,306396,183815,185644,187708,189841,192254,194204,186251,189518,192341,194862,197418,199647,201951,203803,197631,198225,200669,202438,192023,193290,194393,195884,198568,201956,
在建工程(万元),3963,1789,6133,4698,1040,952,29433,17763,10203,1308,258266,208413,311048,297176,255505,159290,119601,109442,68222,46599,44678,44523,4186,3120,3054,2902,7554,3680,--,--,181,172,9,0,0,397,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
固定资产清理(万元),--,--,5,1,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,32,32,32,0,6,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
