报告日期,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
货币资金(万元),7530,6577,8193,7976,3860,3078,1153,1507,1147,1164,2664,1568,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1084,1361,872,66,538,1024,521,516,226,550,303,1348,
应收账款(万元),2515,2560,1343,2014,1753,2009,1133,1115,1040,1297,1328,1454,
预付款项(万元),1379,1026,615,515,490,293,138,48,119,98,80,132,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),337,331,448,430,429,482,484,493,549,553,630,517,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),1652,1333,1478,1020,1697,1135,1674,1379,1267,1180,1135,925,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),357,189,69,50,51,614,2300,810,862,1058,522,355,
流动资产合计(万元),14854,13378,13018,12072,8819,8636,7402,5868,5210,5900,6661,6299,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,285,285,283,281,277,273,273,270,269,267,288,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,18683,18682,--,18170,--,14304,13097,10754,10398,9462,2385,
累计折旧(万元),--,6501,5746,--,4240,--,3070,2572,2100,1905,1358,938,
固定资产净值(万元),--,12182,12936,--,13930,--,11234,10525,8654,8493,8103,1447,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),11814,12182,12936,13253,13930,14164,11234,10525,8654,8493,8103,1447,
在建工程(万元),12969,9780,4328,819,123,158,2044,315,2065,721,--,2645,
工程物资(万元),397,680,172,171,289,106,272,246,24,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),3839,3862,3909,3956,4002,4045,1647,1660,1682,1657,1695,1731,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),172,178,190,--,19,74,97,121,109,120,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),22,31,22,29,26,31,24,13,14,18,20,14,
其他非流动资产(万元),2775,1039,2698,1592,475,--,80,124,24,321,195,1334,
非流动资产合计(万元),31988,28038,24540,20103,19146,18855,15672,13277,12843,11600,10280,7459,
