报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),109486,158432,38740,50508,36809,87087,55394,76214,56241,84677,41655,37983,47595,28423,11860,18380,21560,17633,13041,3524,7869,6614,1659,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),724,4664,1932,2195,111,2745,223,33,77,954,144,242,--,142,126,--,--,--,--,159,--,--,--,
应收账款(万元),145075,113835,135372,114033,98360,68686,98763,79038,74233,54841,86703,75686,59592,44990,64208,47506,32872,20828,11155,19512,8081,6450,3870,
预付款项(万元),1110,772,575,642,1581,687,517,840,449,211,1424,109,1248,478,506,543,389,888,1019,1067,627,685,579,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),200,301,14,86,35,69,142,201,59,--,32,41,74,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),8441,5637,13933,5993,5938,4186,5660,4918,5464,3588,5709,4194,4068,2199,2917,1890,1357,1341,927,1555,1046,464,276,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),34550,36404,36125,34852,48829,44212,41501,29429,32443,27937,26079,20287,24456,23554,18096,18393,14412,13661,13116,11860,10087,5974,3568,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),16194,10245,5703,8326,28936,22989,4039,2242,275,230,--,20,--,9,--,12,242,524,72,--,--,--,--,
流动资产合计(万元),315779,330291,232395,216635,220599,230660,206238,192915,169242,172439,161745,138563,137033,99794,97713,86724,70831,54875,39330,37677,27711,20187,9950,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1819,1819,1860,1860,1860,1860,2000,2000,2000,2000,1600,1600,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
