报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),96229,104854,76821,102187,81149,74592,73979,81377,77390,76185,84512,113151,47785,45899,44963,56713,49014,51148,46918,55698,51899,53000,49175,66355,64940,62901,64838,68722,66827,73969,74354,77574,6039,5137,4375,3631,3446,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,455,455,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收票据(万元),11296,10003,7006,3608,6733,6343,7269,11170,5034,3880,15858,19339,3996,2641,4799,7762,3410,4014,2865,5185,4197,2710,1702,855,1236,828,1138,914,858,614,869,135,121,190,98,--,199,
应收账款(万元),116533,137311,104188,85800,113242,104624,98678,100937,94497,80150,53344,61704,22899,20186,17552,16457,14843,13109,11345,10615,11533,10528,9239,9055,8685,8988,8776,7762,7370,6288,5354,4880,4290,3898,2964,3340,3035,
预付款项(万元),14638,11869,8838,4674,10196,6480,6366,3342,7599,5750,8043,6724,3698,1594,4967,563,2369,1881,1032,536,1394,1621,2105,890,4575,3341,3717,3161,3874,1748,928,697,2062,2971,291,321,742,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,140,206,203,206,204,218,152,203,68,245,338,643,350,350,380,851,44,44,40,19,0,0,0,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
其他应收款(万元),34388,54075,23088,22048,28854,28082,30505,17529,16283,10826,4563,3572,2340,2011,2756,1355,2361,1592,1477,1132,2834,1252,1248,1274,1425,1237,1389,877,5742,1114,1628,1224,498,379,361,4868,6814,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
存货(万元),68846,61543,67229,57014,69016,57919,55363,57588,52566,52813,48522,38789,41146,36359,31552,32536,39415,31455,29114,25848,28832,28987,22334,20376,20238,19050,17610,15991,14821,13394,11916,11039,13028,11096,8399,7231,6411,
