报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),38301,16299,17444,23926,20258,24164,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),338,--,--,--,--,--,
衍生金融资产(万元),--,214,1589,--,--,105,
应收票据(万元),5661,7365,6159,11461,8818,17494,
应收账款(万元),33785,33562,34440,34450,41255,41286,
预付款项(万元),520,668,519,391,1507,2723,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),307,183,2491,184,575,2037,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),21273,19911,22525,15631,21066,22865,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),494,325,806,1684,1015,--,
流动资产合计(万元),100680,78526,85973,87727,94494,110675,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,984,416,454,
固定资产原值(万元),--,19131,18215,18007,18452,--,
累计折旧(万元),--,8071,7428,7117,6803,--,
固定资产净值(万元),--,11060,10787,10889,11649,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),10725,11060,10787,10889,11649,12493,
在建工程(万元),--,--,--,100,25,3,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),2474,2488,2516,2804,3215,1842,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),88,86,100,28,12,20,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),775,648,794,983,597,569,
其他非流动资产(万元),833,706,428,20,363,1500,
非流动资产合计(万元),14895,14989,14625,15808,16277,16882,
资产总计(万元),115576,93515,100598,103535,110771,127557,
短期借款(万元),39700,38500,39000,36500,34000,40200,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,26,173,428,135,--,
应付票据(万元),720,7947,15050,28550,28451,33300,
应付账款(万元),1469,2111,1930,2898,6081,2604,
预收账款(万元),1513,1592,2025,3229,5266,5214,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),1799,1382,1867,1825,1769,1859,
应交税费(万元),546,591,775,479,1116,848,
应付利息(万元),47,41,37,39,57,67,
应付股利(万元),--,--,--,--,74,2508,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),53,48,77,98,6836,20517,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,1300,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),45848,52238,60934,74045,83785,108416,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,
递延所得税负债(万元),-119,49,345,--,--,16,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),-119,49,345,0,0,16,
负债合计(万元),45729,52286,61279,74045,83785,108432,
实收资本(或股本)(万元),16000,12000,12000,12000,12000,10000,
资本公积(万元),36459,13863,13863,10959,--,--,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),294,294,294,41,2032,1668,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),16338,14773,11668,6435,8992,3908,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),69847,41229,39320,29490,23024,15576,
少数股东权益(万元),--,--,--,--,3961,3548,
所有者权益(或股东权益)合计(万元),69847,41229,39320,29490,26986,19125,
负债和所有者权益(或股东权益)总计(万元),115576,93515,100598,103535,110771,127557,		
  
