报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),42272,43364,33079,53995,37763,46608,107043,17403,25625,16150,15276,19206,3889,7566,8092,4556,3114,6903,10429,7334,10628,10582,15664,22305,24560,27582,31687,6641,6143,2678,4376,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),119,28,5,4200,700,211,432,--,300,300,80,142,262,363,469,60,30,261,171,200,8,21,157,433,825,900,588,308,707,45,10,
应收账款(万元),45091,45515,38460,36233,36649,39777,38234,34065,24468,25146,23538,20463,17043,16906,13668,12947,10405,13375,13616,15265,15640,13296,15759,16330,16088,15157,16149,14333,11804,9214,6643,
预付款项(万元),17851,20753,54613,39600,44030,25984,27553,21980,23731,12298,12214,8228,8212,8994,8730,9146,8100,9027,14451,15561,11222,7092,3958,2597,672,1365,915,1022,614,1385,1905,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他应收款(万元),22655,17605,21034,26101,12892,12285,13250,8653,7902,5563,5417,4238,4266,4120,4122,3048,876,1674,1137,1148,1241,862,1075,4163,4062,415,774,681,798,906,433,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
存货(万元),62264,60203,113225,110387,39239,34672,13404,18954,8313,7268,3910,2209,826,577,482,821,3783,706,30353,47553,38137,33384,19946,8819,3017,3188,1953,2448,3032,4715,4078,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),24595,28714,42462,16673,22805,22650,21315,28794,31783,31783,25720,18783,43717,43717,30912,40992,28011,28011,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他流动资产(万元),934,1836,300,300,5300,15463,300,300,200,200,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
流动资产合计(万元),215782,218019,303177,287489,199378,197650,221532,130150,122321,98707,86156,73270,78215,82243,66475,71570,54319,59957,70157,87061,76876,65238,56559,54646,49224,48608,52066,25433,23098,18944,17445,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
可供出售金融资产(万元),5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
长期应收款(万元),156775,144173,96773,87402,119861,111800,119358,79991,67736,57507,65036,56511,33805,23403,44717,36283,43480,43209,34948,2032,2015,510,--,0,--,--,--,--,--,--,--,
长期股权投资(万元),30649,30649,5986,5999,5850,--,--,--,--,--,6192,100,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,--,--,
固定资产原值(万元),--,24037,--,19648,--,15655,--,10933,--,9794,--,9763,--,9727,--,9267,--,9260,--,9106,--,861,--,821,--,738,--,427,328,239,204,
累计折旧(万元),--,8362,--,6441,--,6214,--,1878,--,1668,--,1442,--,1203,--,966,--,742,--,514,--,420,--,327,--,248,--,193,149,94,52,
固定资产净值(万元),--,15675,--,13207,--,9441,--,9055,--,8127,--,8320,--,8524,--,8301,--,8519,--,8592,--,441,--,494,--,490,--,234,179,146,152,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),15747,15675,13560,13229,9508,9441,9010,9055,8062,8127,8229,8320,8418,8524,8611,8301,8406,8519,8542,8592,398,441,485,494,457,490,217,234,179,146,152,
在建工程(万元),1851,2046,3364,3017,2661,2222,1988,1878,1546,1423,548,427,361,364,19,534,234,134,166,--,5880,4473,2615,1343,--,--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
无形资产(万元),3683,3615,5346,5267,4963,4603,3612,3636,3449,3472,3260,3286,3347,3409,562,600,636,675,713,752,790,828,867,457,465,473,481,349,32,54,2,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
商誉(万元),20179,20179,21415,21527,20179,20179,22617,21318,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
长期待摊费用(万元),336,21,74,78,26,29,38,38,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,10,17,25,32,47,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),2625,2315,2085,2075,1834,1845,1627,1474,1377,1377,1114,1052,971,971,968,970,974,974,706,706,665,665,319,319,229,229,196,196,169,103,72,
其他非流动资产(万元),1921,1921,1233,5133,3852,3624,1202,1202,1192,1192,39,41,34,54,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
非流动资产合计(万元),238767,225595,154836,148727,173734,158743,164452,123593,88386,78098,84418,69737,46936,36725,54878,46688,53731,53511,45076,12083,9749,6918,4286,2616,1160,1209,919,812,427,302,225,
资产总计(万元),454549,443613,458013,436216,373112,356392,385984,253742,210707,176805,170574,143007,125150,118969,121353,118258,108050,113467,115233,99144,86625,72155,60845,57262,50384,49817,52985,26245,23525,19246,17670,
短期借款(万元),22244,17704,15186,31914,32286,27166,61998,53798,36760,38967,19871,17837,15613,17108,18391,20727,14881,19176,21646,16563,13785,7020,6000,4950,2000,1000,2000,2000,2000,1900,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,--,--,
