报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),41816,42746,40662,36187,36033,34926,39821,36640,33651,31820,30442,25848,26862,28983,28182,27870,28191,27788,26991,27692,28208,27513,27306,3928,5102,3077,1798,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,4,--,--,--,--,0,0,0,0,0,--,--,0,--,--,--,--,
衍生金融资产(万元),4,--,12,11,50,149,36,76,51,56,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),2097,1819,1395,1751,1631,1046,909,800,666,915,783,904,1172,2179,1447,934,844,291,168,88,486,148,934,489,50,529,--,
应收账款(万元),15287,16102,17183,16476,15089,15487,16830,16626,12634,15412,14768,10536,8491,9062,10244,8220,8459,9028,9815,9052,7256,8933,8070,8512,8582,8207,5561,
预付款项(万元),877,870,1606,1624,473,401,816,705,617,333,653,161,204,141,276,297,617,614,636,878,316,416,417,400,356,242,314,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,--,--,--,--,
应收利息(万元),41,58,90,309,311,295,1182,1213,1221,1149,1407,1309,1060,967,794,826,666,582,418,535,384,209,0,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,--,--,--,--,
其他应收款(万元),855,369,880,455,1369,1116,864,804,755,518,819,152,89,24,41,68,100,103,97,104,119,120,126,-64,110,144,53,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,--,--,--,--,
存货(万元),19041,17517,19095,17591,17005,16745,17739,17336,17708,15660,18049,5384,4958,4723,4360,4291,4264,4555,5054,4954,4284,3976,4547,3619,4697,4833,3567,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,--,--,--,--,
其他流动资产(万元),253,283,54,11,7,253,110,126,4784,6296,3714,3711,4022,37,134,20,0,0,0,0,--,--,0,--,--,--,--,
流动资产合计(万元),80272,79764,80978,74416,71967,70418,78307,74324,72088,72160,70640,48005,46860,46117,45479,42525,43142,42960,43177,43304,41054,41315,41400,16884,18897,17033,11293,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,--,--,--,--,
可供出售金融资产(万元),621,648,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,--,--,--,--,
长期股权投资(万元),10761,10787,10642,10609,10563,10581,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),1692,1163,1180,1195,1210,1234,1219,1241,1095,1844,607,1392,1415,1582,1607,1632,1657,1683,1708,1733,1758,1784,1810,1835,1886,1488,--,
固定资产原值(万元),--,43066,--,43214,--,42110,--,41591,--,38117,--,19318,--,19169,--,18833,--,17621,--,14815,--,14716,--,--,14256,13528,--,
累计折旧(万元),--,21436,--,20725,--,19486,--,18729,--,17636,--,7126,--,6896,--,6496,--,6023,--,5792,--,5378,--,--,4507,3625,--,
固定资产净值(万元),--,21630,--,22489,--,22624,--,22862,--,20481,--,12193,--,12274,--,12337,--,11598,--,9023,--,9338,--,--,9749,9903,--,
固定资产减值准备(万元),--,13,--,13,--,13,--,13,--,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),22741,21617,22207,22373,22380,22612,22986,22850,22805,20469,20871,12193,12290,12274,12420,12337,12250,11598,9186,9023,9145,9338,9429,9556,9749,9903,11289,
在建工程(万元),380,172,87,50,47,47,42,38,556,2272,1548,1088,681,310,92,288,189,13,1985,1686,1109,1032,24,--,9,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,0,--,--,--,--,
